check_id,check,acceptance_criterion,execution_state,result,evidence_uri,inspector,independent_reviewer,article_released,warning
FAI-001,"received quantity, serialization and variant identity",SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-002,bare-board dimensions/thickness and damage,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-003,fabrication lot and stackup certificate,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-004,component MPN/date-lot/alternate reconciliation,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-005,provider-imported placement/rotation parity,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-006,RPW pin-1 orientation,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-007,RPW solder-paste inspection record,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-008,RPW AOI images,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-009,RPW X-ray top and oblique views,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
FAI-010,RPW void/bridge/insufficient-solder disposition,SELECTION REQUIRED,NOT EXECUTED,,,SELECTION REQUIRED,SELECTION REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
