question_id,question,priority,transmission_state,provider_response,response_evidence_uri,project_disposition,upload_authorized,quotation_authorized,order_authorized,warning
DFM-001,"Confirm exact 4-layer finished stackup, dielectric materials/thicknesses and finished board thickness tolerance.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-002,Confirm exact laminate manufacturer/grade/Tg and lot traceability.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-003,Propose outer/inner finished copper weights and confirm 3.0 mm power-route current/temperature review method.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-004,Propose surface finish and finished thickness for RPW0010A and JST VH solderability.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-005,"Confirm all CAM-measured trace, spacing, annular-ring, drill and edge clearances with no silent edits.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-006,Confirm 0.100 mm minimum soldermask dams at the RPW pattern are manufacturable with process tolerance.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-007,State whether mask dams at the published minimum will be preserved or merged; identify every proposed CAM change.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-008,Confirm three board fiducials are sufficient and specify required panel/local fiducials and tooling rails.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-009,"Confirm exact stencil thickness, alloy, paste type, flux and aperture modification for the TI RPW example.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-010,Confirm whether overlapping corner paste primitives are unioned as intended and provide final stencil aperture data.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
