entity_role,dimension,resolved_occ_tag_diagnostic_only,geometric_signature_sha256,geometry_type,bbox_mm_json,r286_maximum_q8_surface_deviation_mm,selection_basis,target_size_mm,warning
R286_SURFACE_DEVIATION_FAILURE_FACE,2,10,9eb5d0afc030554b9f0620684cb01bb79ed7120fc922824aa82d905badc7631a,Cylinder,"[-24.0000001,-1e-07,17.9999999,-21.9999999,9.5250001,20.0000001]",0.02118625056033226,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,12,cf84f26043ad4bcd8bb77d5f2023da13d87406256f4d24fe34d40366f98b85de,Cylinder,"[21.9999999,-1e-07,17.9999999,24.0000001,9.5250001,20.0000001]",0.02118625056033226,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,41,6836e5da23a6a5207f5aef46e1c11e7778dcff48826f0fa0b0c827d93c17d48b,Torus,"[-37.866565826,-2.0000001,13.133434174,-31.9999999,1e-07,19.0000001]",0.018124754762461216,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,44,019b05dfce3c1b76ec54e93266c4de38d6e1f6a87e179412e587c97f4d80fb38,Cylinder,"[-54.0000001,-2.0000001,-18.0000001,-51.9999999,1e-07,20.0000001]",0.014488923842120726,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,45,60d262a2f5b1f29448375e661596687beaad19d141a721a7e22ad82cb6a6cf12,Cylinder,"[-52.0000001,-2.0000001,-20.0000001,-13.9999999,1e-07,-17.9999999]",0.014488923842117522,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,46,630e9757a4038c0acc9dd0729332dec6fbfa4422f61a660806165fd5a2e9a98d,Cylinder,"[-14.0000001,-2.0000001,-18.0000001,-11.9999999,1e-07,15.0000001]",0.014528041805502335,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,49,8cab5c204226990260bee90200689c89de26d24e306ee22b484b9f2f29d5f0f5,Cylinder,"[-32.0000001,-2.0000001,14.9999999,-13.9999999,1e-07,17.0000001]",0.02118625056033239,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,51,c598c87e1cc84f1c7386ef97b9e31d76fdec882b14b3f754ea70f8a478b44b54,Cylinder,"[13.9999999,-2.0000001,14.9999999,32.0000001,1e-07,17.0000001]",0.02118625056033239,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,52,4cbf4bcf13e61ee9588f4222fdc93585013b190508b7356a26e029e1526e02ec,Cylinder,"[11.9999999,-2.0000001,-18.0000001,14.0000001,1e-07,15.0000001]",X_MIRROR_CLOSURE,X_MIRROR_CLOSURE,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R286_SURFACE_DEVIATION_FAILURE_FACE,2,55,30d355d838197c0a7ceb39cc7e865d3e0e8eb47f42aed419023ed71cb6b1563b,Cylinder,"[13.9999999,-2.0000001,-20.0000001,52.0000001,1e-07,-17.9999999]",0.014488923842117522,R286_OBSERVED_OVER_LIMIT,0.35,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
