hold_id,hold,state,closure_evidence,warning
ARM8-H01,"qualified review of exact STEP import, hole axes, transforms and model semantics",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H02,provider DFM and released process/material/tolerance interpretation,OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H03,material certificate and first-article dimensional inspection,OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H04,"received fastener seating, residual thickness, fit and tool access",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H05,received actuator/frame/member dry fit and complete fastener-stack proof,OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H06,"complete received moving mass, center of mass and inertia closure",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H07,"structural, joint-slip, preload, fatigue and impact proof",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H08,"physical J2 stop load, contact, overtravel, backlash, compliance and uncertainty closure",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H09,"as-built cables, guards, deformation and collision proof",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H10,"firmware mechanical binding, physical acceptance hash and HIL evidence",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H11,qualified mechanical/configuration acceptance tied to exact commit,OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM8-H12,"separate written authority for any provider contact, procurement or physical stage",OPEN,"controlled article-specific record with method, result, reviewer and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
