gate_id,domain,status,evidence_added,remaining_evidence,gate_closed,warning
EG-002,configuration,partial,"HR-V0-MECH-BOM-BIND-P0.3 / HR-V0-FW-MECH-SRC-BIND-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register; HR-V0-MECH-SHOP-RFQ-ASSY-P0.1 successor drawings/RFQ/unpowered assembly definition; HR-V0-JOINT-STACK-FIXTURE-P0.1 exact-source review geometry, contact/keepout screen and fail-closed temporary-stack instruction; HR-V0-JOINT-STACK-FIXTURE-P0.2 rank-6 nominal 3-2-1 correction and current ROBOTIS evidence register; HR-V0-JOINT-MET-P0.2 five-method metrology split and fail-closed uncertainty-input register; HR-V0-LOT-A-INQUIRY-P0.2 current unsent supplier/metrology inquiry and response-evaluation route; HR-V0-JOINT-MEAS-DEF-P0.1 exact CAD feature/measurand definition","accepted immutable commit, clean-clone reproduction and qualified configuration acceptance; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; R245 successor shop drawings/datum-GD&T/RFQ/assembly definition plus received, physical/HIL and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence; formal GD&T, provider DFM, FAI, physical assembly/proof and qualified release; received parts; selected fixture material/contact force/restraint/hardware/tolerances; fixture FAI; physical fit/keepout proof; accepted uncertainty; signed temporary hardware instruction; separate unpowered-session authorization; executed records and qualified disposition; supplier SKU/protocol confirmation; selected preload/restraint/material/tolerances; qualified constraint/load review; fixture FAI; received fit/stability/keepout proof; executed records; received articles; accepted method-specific supports/datums/instruments/uncertainty budgets; signed temporary assembly instruction where applicable; executed raw evidence and qualified disposition; separately authorized transmissions; accepted written supplier identity/quote; received articles; accepted provider methods/calibration/uncertainty; executed physical evidence; received feature match; executed measurements; numeric uncertainty; accepted limits; qualified disposition",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-003,BOM,partial,HR-V0-MECH-BOM-BIND-P0.3 / HR-V0-FW-MECH-SRC-BIND-P0.1; HR-V0-MECH-SHOP-RFQ-ASSY-P0.1 successor drawings/RFQ/unpowered assembly definition; HR-V0-LOT-A-INQUIRY-P0.2 current unsent supplier/metrology inquiry and response-evaluation route; HR-V0-JOINT-MEAS-DEF-P0.1 exact CAD feature/measurand definition,"remaining exact selections, supplier/process evidence, received inspection and signed release; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; mechanical DFM/FAI, received identity, fit, proof and qualified release; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; R245 successor shop drawings/datum-GD&T/RFQ/assembly definition plus received, physical/HIL and qualified acceptance; formal GD&T, provider DFM, FAI, physical assembly/proof and qualified release; separately authorized transmissions; accepted written supplier identity/quote; received articles; accepted provider methods/calibration/uncertainty; executed physical evidence; received feature match; executed measurements; numeric uncertainty; accepted limits; qualified disposition",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-004,electrical,partial,HR-V0-P121-DCR-DROP-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register,"supplier-normalized watchdog data, provider/process acceptance, physical terminals, ratings, wiring, tests and qualified review; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-014,branch protection,partial,HR-V0-P121-DCR-DROP-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register,"carrier PCBA manufacture, characterization, fault/thermal/EMC evidence and acceptance; R223 panel topology/placement independent review, received fit and physical closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-015,harness and installation,partial,HR-V0-P121-DCR-DROP-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register,"source/star terminations, cut lengths, routing, crimp/pull/continuity evidence and fit; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; R223 panel topology/placement independent review, received fit and physical closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-010,compute power,partial,HR-V0-P121-DCR-DROP-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register,"Raspberry Pi 5 3V3 header-load and RP1 DC acceptance; STANDBY/ramp/brownout/back-power measurements; qualified review; R223 panel topology/placement independent review, received fit and physical closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-012,diagnostic safety boundary,partial,HR-V0-P121-DCR-DROP-P0.1,"qualified fault/CCF review and physical fault injection proving the zero-credit observation path cannot impair credited E-stop or restart prevention; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-005,mechanical configuration,partial,"HR-V0-MECH-BOM-BIND-P0.3 / HR-V0-FW-MECH-SRC-BIND-P0.1; HR-V0-MECH-SHOP-RFQ-ASSY-P0.1 successor drawings/RFQ/unpowered assembly definition; HR-V0-MOVING-PROP-CLOSURE-P0.1 blank complete moving-properties execution contract; HR-V0-PROP-PROPAGATION-P0.1 fail-closed property propagation/stale-screen control; HR-V0-JOINT-STACK-FIXTURE-P0.1 exact-source review geometry, contact/keepout screen and fail-closed temporary-stack instruction; HR-V0-JOINT-STACK-FIXTURE-P0.2 rank-6 nominal 3-2-1 correction and current ROBOTIS evidence register; HR-V0-JOINT-MET-P0.2 five-method metrology split and fail-closed uncertainty-input register; HR-V0-LOT-A-INQUIRY-P0.2 current unsent supplier/metrology inquiry and response-evaluation route; HR-V0-JOINT-MEAS-DEF-P0.1 exact CAD feature/measurand definition","qualified acceptance of exact P0.8 integration; received article identity, dimensional FAI, complete mass/inertia, fit and as-built configuration evidence; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; R245 successor shop drawings/datum-GD&T/RFQ/assembly definition plus received, physical/HIL and qualified acceptance; formal GD&T, provider DFM, FAI, physical assembly/proof and qualified release; received masses, assembly closure, two-axis COM, calibrated inertia, uncertainty and qualified downstream acceptance; accepted property bundle and regenerated load/stop/structure/control analyses with physical/qualified acceptance; received parts; selected fixture material/contact force/restraint/hardware/tolerances; fixture FAI; physical fit/keepout proof; accepted uncertainty; signed temporary hardware instruction; separate unpowered-session authorization; executed records and qualified disposition; supplier SKU/protocol confirmation; selected preload/restraint/material/tolerances; qualified constraint/load review; fixture FAI; received fit/stability/keepout proof; executed records; received articles; accepted method-specific supports/datums/instruments/uncertainty budgets; signed temporary assembly instruction where applicable; executed raw evidence and qualified disposition; separately authorized transmissions; accepted written supplier identity/quote; received articles; accepted provider methods/calibration/uncertainty; executed physical evidence; received feature match; executed measurements; numeric uncertainty; accepted limits; qualified disposition",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-006,collision and stop validation,partial,"HR-V0-MECH-BOM-BIND-P0.3 / HR-V0-FW-MECH-SRC-BIND-P0.1; HR-V0-MECH-SHOP-RFQ-ASSY-P0.1 successor drawings/RFQ/unpowered assembly definition; HR-V0-MOVING-PROP-CLOSURE-P0.1 blank complete moving-properties execution contract; HR-V0-PROP-PROPAGATION-P0.1 fail-closed property propagation/stale-screen control; HR-V0-JOINT-STACK-FIXTURE-P0.1 exact-source review geometry, contact/keepout screen and fail-closed temporary-stack instruction; HR-V0-JOINT-STACK-FIXTURE-P0.2 rank-6 nominal 3-2-1 correction and current ROBOTIS evidence register; HR-V0-JOINT-MET-P0.2 five-method metrology split and fail-closed uncertainty-input register","as-built guard/cable/tolerance/deformation collision proof, stop load and stopping-travel tests, backlash/compliance/uncertainty closure and qualified acceptance; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; R245 successor shop drawings/datum-GD&T/RFQ/assembly definition plus received, physical/HIL and qualified acceptance; formal GD&T, provider DFM, FAI, physical assembly/proof and qualified release; received masses, assembly closure, two-axis COM, calibrated inertia, uncertainty and qualified downstream acceptance; accepted property bundle and regenerated load/stop/structure/control analyses with physical/qualified acceptance; received parts; selected fixture material/contact force/restraint/hardware/tolerances; fixture FAI; physical fit/keepout proof; accepted uncertainty; signed temporary hardware instruction; separate unpowered-session authorization; executed records and qualified disposition; supplier SKU/protocol confirmation; selected preload/restraint/material/tolerances; qualified constraint/load review; fixture FAI; received fit/stability/keepout proof; executed records; received articles; accepted method-specific supports/datums/instruments/uncertainty budgets; signed temporary assembly instruction where applicable; executed raw evidence and qualified disposition",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-018,unpowered panel installation,partial,HR-V0-P121-DCR-DROP-P0.1; HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1 exact loop/source/headroom/missing-input register,"released holes/cuts/wires/terminations; received parts; as-built point-to-point, pull, torque, label, continuity, polarity and isolation evidence; signed release; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance; accepted installed static/dynamic voltage budget and physical/qualified evidence",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
