inspection_id,feature,candidate_acceptance,method,result,nonconformance_rule,authority,warning
FH-I01,panel material identity and thickness,LEXAN 9034 COC/lot; 6.0 +/-0.20 mm,COC + micrometer map,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I02,panel outside profile/flatness,360/240/R8 within drawing; <=0.75 mm total flatness candidate,CMM/height gauge,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I03,all panel holes and slots,4 foot +14 PCB +8 cover holes and four slots present; no burr/chip,CMM + visual,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I04,cover walls/flange/cavity,two covers; 3.0 mm nominal walls/top/flange; four dia3.4 holes each,caliper/CMM,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I05,field-port exclusion,cover closes on received carrier without contact; zero external field-port access,fit gauge + visual,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I06,PCB support stack,14 pedestals +14 order-code 970080155; board plane 14.0 mm nominal Z,height gauge + label trace,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I07,fastener fit,M2.5/M3/M5 start by hand; no cross-thread; no cracking/crazing,controlled fit inspection,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I08,foot height and raceway clearance,four finished foot stacks 18.0 mm nominal; tray bottom at least 2.0 mm above bench candidate,height gauge/flat plate,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I09,SJ5309 adhesion,full contact/no edge lift after defined dwell and proof load,process/test definition required,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-I10,assembled fixture stability,all four feet contact; no rocking; covers retained; cable tray clear,flat plate + witnessed record,NOT EXECUTED,STOP / QUARANTINE / DO NOT ASSEMBLE,"NO FABRICATION, CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
