item,quantity,part,candidate,fabrication,release,warning
E1-01,1,base panel,SABIC LEXAN 9034 CLEAR PC; 360 x 240 x 6 MM,3-AXIS CNC; DXF/STEP/DRAWING PROVIDED; FAI OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-02,2,flanged carrier field-port cover,SABIC LEXAN 9034 CLEAR PC; 3 MM WALL/FLANGE,3-AXIS CNC; STEP/STL/DRAWING PROVIDED; RECEIVED FIT OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-03,14,M2.5 PCB pedestal + standoff,PROJECT E1-PED-6X3 + WUERTH 970080155,CNC PEDESTAL + PURCHASE STANDOFF,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-04,14,M2.5 top/bottom screw pair,50M025045P006 + 50M025045D012,PURCHASE; TORQUE/FIT PROCESS OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-05,8,M3 cover screw/nut set,50M030050P012 + 496241,PURCHASE; TORQUE/WITNESS PROCESS OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-06,4,18 mm bench-foot stack,PROJECT E1-FOOT-223X79 + SJ5309 + ITEM 10374603 + 0030030000VR,CNC RISER + PURCHASE HARDWARE; ADHESION/LOAD TEST OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-06A,1,under-panel logic raceway,SABIC LEXAN 9034; 245 x 150 x 16; 2 MM WALL/BASE,CNC CUT; JOINING METHOD/FAI OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-07,1,native HR-30 motion controller,CURRENT P0.1 PCB CANDIDATE,UNBUILT / PCB RELEASE OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-08,2,native HR-30 interface carriers,CURRENT CARRIER A/B P0.1 PCB CANDIDATES,UNBUILT / PCB RELEASE OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-09,1,native HR-30 SWD adapter,CURRENT P0.1 PCB CANDIDATE,UNBUILT / PCB RELEASE OPEN,NO,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
