item,quantity,manufacturer,order_code,description,selection,procurement_released,warning
LH-01,4,JST,GHR-15V-S,15-position GH receptacle housing,EXACT CANDIDATE; RECEIVED FIT OPEN,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-02,60,JST,SSHL-002T-P0.2,GH crimp contact; 54 installed plus 6 process specimens,EXACT CANDIDATE; MACHINE CRIMP/QUALIFICATION OPEN,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-03,1,Belden,1852 BK005,28 AWG stranded tinned-copper black wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-04,1,Belden,1852 RD005,28 AWG stranded tinned-copper red wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-05,1,Belden,1852 YL005,28 AWG stranded tinned-copper yellow wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-06,1,Belden,1852 BL005,28 AWG stranded tinned-copper blue wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-07,1,Belden,1852 WH005,28 AWG stranded tinned-copper white wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-08,1,Belden,1852 OR005,28 AWG stranded tinned-copper orange wire; 0.89 mm nominal OD,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-09,54,SELECTION REQUIRED,SELECTION REQUIRED,two-end durable wire-identification sleeves,MATERIAL/PRINT/RETENTION OPEN,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-10,1,JST,AP-K2N + MKS-L-10-3 + APLMK SSHL002-02,manufacturer-listed machine/application tooling path,CONTRACT-HARNESS PROCESS CANDIDATE; NO HAND TOOL RELEASED,NO,"PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
