step,operation,acceptance,record,stop_rule,authority,warning
LH-A01,verify exact source hashes and print contact map,maps reproduce 15 A conductors and 12 B conductors; B positions 13-15 empty,NOT EXECUTED,STOP ON ANY MAP OR SOURCE DRIFT,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A02,"receive housings, contacts and Belden wire",order code/lot/CoC inspection; conductor 28 AWG; insulation OD recorded within JST 0.76-1.0 mm range,NOT EXECUTED,QUARANTINE MISMATCH,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A03,make six crimp-process specimens before harness work,supplier-controlled machine setup; crimp cross-sections and pull data reviewed against released process specification,NOT EXECUTED,NO HARNESS CRIMP UNTIL PROCESS ACCEPTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A04,cut and label 15 A wires and 12 B wires,A 320 mm; B 310 mm; label at both ends; no nicks or thermal damage,NOT EXECUTED,SCRAP DAMAGED OR AMBIGUOUS WIRE,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A05,machine-crimp both ends and inspect every crimp,54 installed contacts; conductor/insulation wings correct; bellmouth/brush/locking lance per released vendor/JST process,NOT EXECUTED,NO REWORK BY SOLDERING; QUARANTINE DEFECT,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A06,insert contacts by controlled map,position-1 orientation witnessed; A positions 1-15 populated; B positions 1-12 populated and 13-15 visibly empty,NOT EXECUTED,EXTRACTED CONTACT NOT REUSED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A07,perform 100 percent de-energized continuity and isolation,each end-to-end path matches net map; every nonmatching pair and empty B cavity is open,NOT EXECUTED,QUARANTINE ANY WRONG/INTERMITTENT PATH,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A08,perform contact retention and label inspection,each contact latched; labels legible at both ends; no housing damage,NOT EXECUTED,QUARANTINE ANY RETENTION OR ID FAILURE,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A09,fit to unpowered received boards and fixture,"top-entry mating, adjacent slot routing, bend radius at least 10 mm, covers close, no pinch/chafe",NOT EXECUTED,NO FORCE-FIT OR FIELD-PORT ACCESS,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
LH-A10,independent as-built inspection,serialised harnesses match frozen maps and test records,NOT EXECUTED,NO CONNECTION/POWER AUTHORITY FROM THIS TRAVELER,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
