adapter_id,serial_number,received_sku,received_length_mm,end_style_verified,source_cavities_1_2_empty,destination_power_contacts_present,data_continuity,power_isolation,terminal_retention,route_sweep,communication_test,result,evidence,execution_state,authority,warning
IAD-RS-LLEG-02,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-03,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-04,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-05,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-06,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-02,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-03,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-04,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-05,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-06,UNASSIGNED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
