adapter_id,link_id,bus_id,protocol,source_axis,destination_axis,source_connector,destination_connector,base_cable,robotis_sku,nominal_cable_length_mm,joint_axis_spacing_mm,nominal_length_minus_axis_spacing_mm,factory_data_contacts_retained,factory_power_conductors_removed,source_cavity_1,source_cavity_2,destination_cavity_1,destination_cavity_2,destination_data_cavities,required_label,adaptation_state,execution_state,authority,warning
IAD-RS-LLEG-02,DATA-L_HIP_ROLL,RS-LLEG,RS-485,L_HIP_YAW,L_HIP_ROLL,J-OUT-L_HIP_YAW,J-ACT-L_HIP_ROLL,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED L_HIP_ROLL,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-03,DATA-L_HIP_PITCH,RS-LLEG,RS-485,L_HIP_ROLL,L_HIP_PITCH,J-OUT-L_HIP_ROLL,J-ACT-L_HIP_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED L_HIP_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-04,DATA-L_KNEE_PITCH,RS-LLEG,RS-485,L_HIP_PITCH,L_KNEE_PITCH,J-OUT-L_HIP_PITCH,J-ACT-L_KNEE_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,160.000,80.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED L_KNEE_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-05,DATA-L_ANKLE_PITCH,RS-LLEG,RS-485,L_KNEE_PITCH,L_ANKLE_PITCH,J-OUT-L_KNEE_PITCH,J-ACT-L_ANKLE_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,155.000,85.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED L_ANKLE_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-LLEG-06,DATA-L_ANKLE_ROLL,RS-LLEG,RS-485,L_ANKLE_PITCH,L_ANKLE_ROLL,J-OUT-L_ANKLE_PITCH,J-ACT-L_ANKLE_ROLL,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED L_ANKLE_ROLL,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-02,DATA-R_HIP_ROLL,RS-RLEG,RS-485,R_HIP_YAW,R_HIP_ROLL,J-OUT-R_HIP_YAW,J-ACT-R_HIP_ROLL,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED R_HIP_ROLL,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-03,DATA-R_HIP_PITCH,RS-RLEG,RS-485,R_HIP_ROLL,R_HIP_PITCH,J-OUT-R_HIP_ROLL,J-ACT-R_HIP_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED R_HIP_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-04,DATA-R_KNEE_PITCH,RS-RLEG,RS-485,R_HIP_PITCH,R_KNEE_PITCH,J-OUT-R_HIP_PITCH,J-ACT-R_KNEE_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,160.000,80.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED R_KNEE_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-05,DATA-R_ANKLE_PITCH,RS-RLEG,RS-485,R_KNEE_PITCH,R_ANKLE_PITCH,J-OUT-R_KNEE_PITCH,J-ACT-R_ANKLE_PITCH,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,155.000,85.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED R_ANKLE_PITCH,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-RS-RLEG-06,DATA-R_ANKLE_ROLL,RS-RLEG,RS-485,R_ANKLE_PITCH,R_ANKLE_ROLL,J-OUT-R_ANKLE_PITCH,J-ACT-R_ANKLE_ROLL,ROBOTIS Robot Cable-X4P 240 mm,903-0245-000,240,20.000,220.000,SOURCE+DESTINATION CAVITY 3 DATA+ AND CAVITY 4 DATA-,GND CAVITY 1 AND VDD CAVITY 2 - REMOVE COMPLETE CONDUCTORS AND FOUR TERMINALS,EMPTY,EMPTY,INSERT DEDICATED BRANCH RETURN CONTACT,INSERT DEDICATED BRANCH VDD CONTACT,"3,4",DATA-ONLY UPSTREAM / BRANCH-POWERED R_ANKLE_ROLL,"UNBUILT CANDIDATE - RECEIVED CABLE, EXTRACTION, REINSERTION, ROUTE AND COMMUNICATION VALIDATION REQUIRED",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
