Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WP7113QBC/D","LED_D5.0mm_Clear",72.000000,-122.000000,0.000000,top
"J1I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-10.000000,90.000000,top
"J1O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-10.000000,90.000000,top
"J2I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-23.500000,90.000000,top
"J2O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-23.500000,90.000000,top
"J3I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-37.000000,90.000000,top
"J3O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-37.000000,90.000000,top
"J4I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-50.500000,90.000000,top
"J4O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-50.500000,90.000000,top
"J5I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-64.000000,90.000000,top
"J5O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-64.000000,90.000000,top
"J6I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-77.500000,90.000000,top
"J6O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-77.500000,90.000000,top
"J7I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-91.000000,90.000000,top
"J7O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-91.000000,90.000000,top
"J8I","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-104.500000,90.000000,top
"J8O","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-104.500000,90.000000,top
"JBT1","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",12.000000,-124.000000,90.000000,top
"JTTL","1757242","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",184.000000,-124.000000,90.000000,top
