hsi_id,definition_coverage,feature_or_characteristic_ids,closure_boundary,state,warning
HSI-001,IDENTITY ONLY - NO GEOMETRIC CLOSURE,R255 supplier/receiving records,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-002,IDENTITY ONLY - NO GEOMETRIC CLOSURE,R255 supplier/receiving records,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-003,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-001; R256-MZ-002,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-004,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-003; R256-MZ-004,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-005,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-005; R256-MZ-006,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-006,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-007; R256-MZ-008,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-007,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-009,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-008,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-010,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-009,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-011,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-010,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-012,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-011,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-013,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-012,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-014,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-013,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-015,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-014,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-016,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-015,EXTERNAL TO THIS SOURCE-GEOMETRY PACKAGE,,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-016,EXTERNAL TO THIS SOURCE-GEOMETRY PACKAGE,,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-017,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-017,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-018,EXACT CAD REFERENCE FEATURES DEFINED; RECEIVED RESULT OPEN,R256-MZ-018,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-019,EXTERNAL TO THIS SOURCE-GEOMETRY PACKAGE,,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-020,EXTERNAL TO THIS SOURCE-GEOMETRY PACKAGE,,"received execution, raw data, uncertainty, qualified acceptance and downstream configuration binding",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
