feature_id,article,source_face_index_1_based,geometry_type,nominal_point_joint_xyz_mm,nominal_axis_or_normal_joint_xyz,nominal_radius_mm,nominal_area_mm2,geometric_signature,measurement_role,hsi_route,method_route,status,warning
XM540-PL-OUTER-OUTPUT,XM540,58,PLANE,"26.250000,-0.000000,-0.000000","1.000000,0.000000,0.000000",,208.758831831,"PLANE|A=208.758831831|P=26.250000,-0.000000,-0.000000|N=1.000000,0.000000,0.000000",external output-side axial plane candidate,HSI-004/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-PL-OUTER-IDLER,XM540,317,PLANE,"-22.750000,-0.000000,0.000000","1.000000,0.000000,0.000000",,377.807932521,"PLANE|A=377.807932521|P=-22.750000,-0.000000,0.000000|N=1.000000,0.000000,0.000000",external idler-side axial plane candidate,HSI-004/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-PL-MOVING-PLUS,H101,11,PLANE,"26.500000,14.436759,-0.000000","1.000000,0.000000,0.000000",,684.537252615,"PLANE|A=684.537252615|P=26.500000,14.436759,-0.000000|N=1.000000,0.000000,0.000000",moving-frame positive-X outer axial plane,HSI-003/005,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-PL-MOVING-MINUS,H101,76,PLANE,"-26.500000,14.436759,-0.000000","1.000000,0.000000,0.000000",,684.537252614,"PLANE|A=684.537252614|P=-26.500000,14.436759,-0.000000|N=1.000000,0.000000,0.000000",moving-frame negative-X outer axial plane,HSI-003/005,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-PL-ANGLE-REF,H101,1,PLANE,"0.000000,30.000000,-0.000000","0.000000,1.000000,0.000000",,1067.040001966,"PLANE|A=1067.040001966|P=0.000000,30.000000,-0.000000|N=0.000000,1.000000,0.000000",moving external angle-reference candidate,HSI-013/014,JSM2-M03,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-PL-FIXED-PLUS,S102,32,PLANE,"24.000000,-44.109678,-0.000000","1.000000,0.000000,0.000000",,299.729870846,"PLANE|A=299.729870846|P=24.000000,-44.109678,-0.000000|N=1.000000,0.000000,0.000000",fixed-frame positive-X outer axial plane,HSI-004/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-PL-FIXED-MINUS,S102,4,PLANE,"-24.000000,-44.109678,-0.000000","1.000000,0.000000,0.000000",,299.729870846,"PLANE|A=299.729870846|P=-24.000000,-44.109678,-0.000000|N=1.000000,0.000000,0.000000",fixed-frame negative-X outer axial plane,HSI-004/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-PL-ANGLE-REF,S102,20,PLANE,"0.000000,-51.500000,-0.000000","0.000000,1.000000,0.000000",,1185.361020181,"PLANE|A=1185.361020181|P=0.000000,-51.500000,-0.000000|N=0.000000,1.000000,0.000000",fixed external angle-reference candidate,HSI-013/014,JSM2-M03,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-AXIS-OUTPUT,XM540,100,CYLINDER,"23.625000,0.000000,0.000000","1.000000,0.000000,0.000000",13.000000000,126.947568743,"CYLINDER|A=126.947568743|P=23.625000,0.000000,0.000000|D=1.000000,0.000000,0.000000|R=13.000000000",output-side joint-axis realization candidate,HSI-003/004/005/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-AXIS-IDLER,XM540,315,CYLINDER,"-25.500000,0.000000,0.000000","1.000000,0.000000,0.000000",13.000000000,93.933620336,"CYLINDER|A=93.933620336|P=-25.500000,0.000000,0.000000|D=1.000000,0.000000,0.000000|R=13.000000000",idler-side joint-axis realization candidate,HSI-003/004/005/006,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-AXIS-PLUS,H101,15,CYLINDER,"25.500000,0.000000,0.000000","1.000000,0.000000,0.000000",5.000000000,31.415926536,"CYLINDER|A=31.415926536|P=25.500000,0.000000,0.000000|D=1.000000,0.000000,0.000000|R=5.000000000",moving-frame positive-X coaxial bore candidate,HSI-003/005,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-AXIS-MINUS,H101,81,CYLINDER,"-25.500000,0.000000,0.000000","1.000000,0.000000,0.000000",5.000000000,31.415926536,"CYLINDER|A=31.415926536|P=-25.500000,0.000000,0.000000|D=1.000000,0.000000,0.000000|R=5.000000000",moving-frame negative-X coaxial bore candidate,HSI-003/005,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-AXIS-SIDE-MINUS,S102,19,CYLINDER,"-21.500000,-49.000000,-16.500000","0.000000,0.000000,1.000000",2.500000000,129.590696961,"CYLINDER|A=129.590696961|P=-21.500000,-49.000000,-16.500000|D=0.000000,0.000000,1.000000|R=2.500000000",fixed-frame negative-X side-hole axis candidate,HSI-004/006/009/011,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
