request_id,topic,question,required_response,close_condition,state,authority
DFM-01,configuration,Confirm every quoted file SHA and part ID; identify any file conversion or geometry repair.,WRITTEN,supplier response reconciled to controlled register,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-02,material,"State exact alloy/resin, temper/condition, stock form, producer and certificate/traceability options.",WRITTEN,engineering accepts exact material and evidence,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-03,stock thickness,Do not substitute stock thickness. Flag every mismatch against nominal CAD.,WRITTEN,CAD/drawing is revised or exact finished thickness is quoted,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-04,tolerances,List all assumed default tolerances and every feature that needs an explicit drawing tolerance or datum.,WRITTEN,released drawing/GD&T or accepted quote-specific requirement,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-05,features,"Identify inaccessible corners, tool-radius limits, thin walls, unsupported print regions, threads, countersinks and post-machining needs.",MARKED-UP DFM,authoritative CAD is dispositioned feature by feature,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-06,edge safety,Quote deburring/edge-break options and identify edges that cannot receive consistent treatment.,WRITTEN,edge-treatment drawing requirement and inspection method released,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-07,inspection,"Quote first-article, dimensional report, material certificate and traceability options separately.",WRITTEN,qualified reviewer accepts inspection plan,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-08,finish,"Identify as-machined/cut/printed finish, cleaning, coating, masking and dimensional effects.",WRITTEN,finish and post-process specification released,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-09,lot control,State whether paired/bilateral parts can be made from one material lot and one setup.,WRITTEN,lot/setup plan recorded,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
DFM-10,authority,Treat uploaded files as quote/DFM inputs only; do not start manufacture without a later signed purchase release.,ACKNOWLEDGEMENT,supplier acknowledges no-order boundary,OPEN,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
