part_id,module,material_candidate,cad_nominal_thickness_mm,nearest_published_sendcutsend_stock_mm,exact_stock_match_within_0_02_mm,difference_mm,disposition,authority
P01_PELVIS_PLATE_FRONT,P01,6061-T651 WINDOWED PLATE CANDIDATE,5.000,4.75,FALSE,-0.250,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P01_PELVIS_PLATE_REAR,P01,6061-T651 WINDOWED PLATE CANDIDATE,5.000,4.75,FALSE,-0.250,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P01_WAIST_BRIDGE,P01,6061-T651 6 MM WINDOWED PLATE CANDIDATE,6.000,6.35,FALSE,+0.350,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_SHIN_SIDE_FRONT,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_THIGH_SIDE_FRONT,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_SHIN_SIDE_REAR,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_THIGH_SIDE_REAR,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_SHIN_TIE_Z72,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_SHIN_TIE_Z135,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_SHIN_TIE_Z183,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_THIGH_TIE_Z235,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L01_THIGH_TIE_Z300,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
