hold_id,subject,status,evidence_needed,origin,warning
WD-DATA-HOLD-001,supplier coordinate convention,OPEN,"exact origin, axes, rotation zero/direction, side mirroring and centroid rule",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-002,reference-level DFM,OPEN,written acceptance/redline for all 42 populated references and four holes,HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-003,exact sourcing route,OPEN,"provider, authorized distributor/consignment, lot/date code, attrition and no-alternate controls",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-004,SMT process,OPEN,"paste/alloy/flux, stencil/apertures, placement, profile, cleaning and inspection",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-005,THT process,OPEN,"method, fixture, seating, solder/flux, trim, cleaning and underside envelope",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-006,ISO1 insulation/cleanliness,OPEN,"working environment, mask/process, contamination criterion and qualified disposition",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-007,Pico presentation/inspection,OPEN,"SC0915 packaging, moisture/process, fixture, reflow and joint inspection",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-008,fabrication definition,OPEN,"material, stack, copper, finish, mask, legend, panel, tolerances and electrical test",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-009,first article,OPEN,"received article plus inspection, traceability, cleanliness and unpowered test evidence",HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-DATA-HOLD-010,independent qualified review,OPEN,PCB/assembly/electrical/insulation/mechanical dispositions,HR-V0-WD-PCBA-DATA-P0.2,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
