reference,kicad_pos_x_mm,kicad_pos_y_mm,kicad_rotation_deg,assembly_board_x_mm,assembly_board_y_mm,assembly_rotation_deg,derived_x_offset_mm,derived_inverted_y_offset_mm,position_error_mm,rotation_error_deg,state,warning
CDEC1,94.200000,-73.500000,90.000000,74.200,53.500,90.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CDRV1,92.000000,-39.000000,180.000000,72.000,19.000,180.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CDRV2,124.000000,-39.000000,180.000000,104.000,19.000,180.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFI1,104.000000,-70.000000,90.000000,84.000,50.000,90.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFI2,104.000000,-80.800000,-90.000000,84.000,60.800,-90.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DC1,50.000000,-34.000000,0.000000,30.000,14.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ISO1,62.000000,-108.000000,0.000000,42.000,88.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JWF1,150.000000,-76.000000,0.000000,130.000,56.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JWH1,30.000000,-108.000000,0.000000,10.000,88.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JWP1,30.000000,-34.000000,0.000000,10.000,14.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RHB1,48.000000,-108.000000,0.000000,28.000,88.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RHP1,50.000000,-98.000000,0.000000,30.000,78.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RPD1,91.000000,-68.000000,0.000000,71.000,48.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RPD2,91.000000,-88.000000,0.000000,71.000,68.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RSN1,109.000000,-73.500000,-90.000000,89.000,53.500,-90.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RSN2,109.000000,-78.500000,-90.000000,89.000,58.500,-90.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RSO1,91.000000,-64.000000,0.000000,71.000,44.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RSO2,91.000000,-84.000000,0.000000,71.000,64.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RTH1,125.000000,-70.000000,180.000000,105.000,50.000,180.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RTH2,125.000000,-82.000000,180.000000,105.000,62.000,180.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RW1,136.000000,-70.000000,0.000000,116.000,50.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
RW2,136.000000,-82.000000,0.000000,116.000,62.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP1,72.000000,-40.000000,0.000000,52.000,20.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP10,108.000000,-21.500000,0.000000,88.000,1.500,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP11,154.000000,-66.000000,0.000000,134.000,46.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP12,166.000000,-88.000000,0.000000,146.000,68.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP13,90.000000,-58.000000,0.000000,70.000,38.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP14,86.000000,-90.000000,0.000000,66.000,70.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP15,96.000000,-58.000000,0.000000,76.000,38.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP16,90.000000,-78.000000,0.000000,70.000,58.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP2,76.000000,-36.000000,0.000000,56.000,16.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP3,62.000000,-32.000000,0.000000,42.000,12.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP4,70.000000,-46.000000,0.000000,50.000,26.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP5,38.000000,-105.000000,0.000000,18.000,85.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP6,50.000000,-92.000000,0.000000,30.000,72.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP7,78.000000,-52.000000,0.000000,58.000,32.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP8,108.000000,-54.000000,0.000000,88.000,34.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
TP9,74.000000,-24.000000,0.000000,54.000,4.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
UDRV1,92.000000,-34.000000,0.000000,72.000,14.000,0.000,20.000000,20.000000,0.000000000,0.000000000,PARITY PASS - INTERNAL COORDINATES ONLY - NOT MACHINE XYRS,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
