clearance_id,subject,other,screened_clearance,basis,result,required_evidence,warning
PIOI-CLR-001,OBS1,backplate right edge,10.4,mm planar,ANALYTICAL PASS,received edge keepout and connector sweep,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-002,OBS1,WD2 right edge,9.2,mm planar,ANALYTICAL PASS,received duct cover and board/connector sweep,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-003,OBS1,GTM3 lower edge,24.6,mm planar,ANALYTICAL PASS,received cable bend and retention sweep,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-004,OBS1,protection reserve right edge,55.2,mm planar,ANALYTICAL PASS,selected protection parts and service sweep,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-005,OBS1,nearest R161 DXL carrier top edge,118.0,mm planar,ANALYTICAL PASS,R161 placements remain unreleased; received combined-layout review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-006,OBS1,backplate lower edge,265.8,mm planar,ANALYTICAL PASS,received enclosure and backplate fit,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-007,PIOBS1,CCASE1 left/right plan edges,12.75,mm nominal each side,REFERENCE ONLY,received Pi/case/bracket/stack transform,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-008,PIOBS1,CCASE1 top/bottom plan edges,15.25,mm nominal each side,REFERENCE ONLY,received Pi/case/bracket/stack transform,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-009,compute harness,GTM1/GTM2/GTM3 bodies,no planar intersection,WD2 centreline route,ANALYTICAL PASS,"duct entry/exit, cover, fill, separation and retention","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-CLR-010,compute vs field harness,WD2 occupied spans,36.0,mm nominal vertical gap,ANALYTICAL PASS,"bundle diameters, bends, partitioning and installed inspection","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
