hold_id,topic,state,evidence_uri,warning
PIOI-HOLD-001,"received P0.6 backplate and enclosure datums, usable edge keepouts and closed-cover depth",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-002,"received R202 PCB dimensions, connector overhang and four-hole metrology",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-003,"exact observation-carrier standoffs, fasteners, locking, coating treatment and load proof",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-004,"received Pi 5, PI5-CASE-D, rail bracket, cooler, R204 socket and carrier stack transform",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-005,fabricator and assembler acceptance of R202 and R204 native candidates,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-006,"exact WD2 entry/exit geometry, fill, cover fit, bend radii, partitions and domain separation",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-007,exact XT1 terminal coordinates and accepted five-wire field harness stock/termination schedule,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-008,"six-wire Pi harness measured route, exact cut lengths, labels, retention and service loop",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-009,"five-wire field harness measured route, exact cut lengths, labels, retention and service loop",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-010,"direct-strip preparation, torque, exposed-strand, pull, retorque and inspection process",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-011,"3.3 V loading, startup/shutdown, brownout, back-power and cable-fault acceptance",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-012,"continuity, polarity, isolation, EMC, thermal, fault-injection and HIL evidence",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-HOLD-013,"qualified electrical, panel-layout and functional-safety review plus separate written work authority",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
