wire_number,sheet,reference,terminal,pin_name,net
W1001,01_external_sources.kicad_sch,PSA1,C14-PE,FACTORY PE / INTERNAL -V BOND,ACT_0V_PE_BONDED
W1002,01_external_sources.kicad_sch,PSA1,C6P-1,+VO 1,ACT_12V_RAW
W1003,01_external_sources.kicad_sch,PSA1,C6P-2,+VO 2,ACT_12V_RAW
W1004,01_external_sources.kicad_sch,PSA1,C6P-3,+VO 3,ACT_12V_RAW
W1005,01_external_sources.kicad_sch,PSA1,C6P-4,-VO 1,ACT_0V_PE_BONDED
W1006,01_external_sources.kicad_sch,PSA1,C6P-5,-VO 2,ACT_0V_PE_BONDED
W1007,01_external_sources.kicad_sch,PSA1,C6P-6,-VO 3,ACT_0V_PE_BONDED
W1008,01_external_sources.kicad_sch,JA1,1,C6P 1,ACT_12V_RAW
W1009,01_external_sources.kicad_sch,JA1,2,C6P 2,ACT_12V_RAW
W1010,01_external_sources.kicad_sch,JA1,3,C6P 3,ACT_12V_RAW
W1011,01_external_sources.kicad_sch,JA1,4,C6P 4,ACT_0V_PE_BONDED
W1012,01_external_sources.kicad_sch,JA1,5,C6P 5,ACT_0V_PE_BONDED
W1013,01_external_sources.kicad_sch,JA1,6,C6P 6,ACT_0V_PE_BONDED
W1014,01_external_sources.kicad_sch,PSU2,YL4-1,+24V,SAFETY_24V_RAW
W1015,01_external_sources.kicad_sch,PSU2,YL4-3,0V / SHIELD RETURN,SAFETY_0V
W1016,01_external_sources.kicad_sch,J24,1,+24V,SAFETY_24V_RAW
W1017,01_external_sources.kicad_sch,J24,3,0V / SHIELD RETURN,SAFETY_0V
W1018,01_external_sources.kicad_sch,F24,IN,SOURCE +24V,SAFETY_24V_RAW
W1019,01_external_sources.kicad_sch,F24,OUT,PROTECTED +24V,SAFETY_24V
W1020,01_external_sources.kicad_sch,PSU3,USB-C-VBUS,+5V COMPUTE,COMPUTE_5V
W1021,01_external_sources.kicad_sch,PSU3,USB-C-GND,COMPUTE GND,COMPUTE_0V
W1022,01_external_sources.kicad_sch,XD24,LINE,PROTECTED 24 V FEED,SAFETY_24V
W1023,01_external_sources.kicad_sch,XD24,01,24 V LOAD 01,SAFETY_24V
W1024,01_external_sources.kicad_sch,XD24,02,24 V LOAD 02,SAFETY_24V
W1025,01_external_sources.kicad_sch,XD24,03,24 V LOAD 03,SAFETY_24V
W1026,01_external_sources.kicad_sch,XD24,04,24 V LOAD 04,SAFETY_24V
W1027,01_external_sources.kicad_sch,XD24,05,24 V LOAD 05,SAFETY_24V
W1028,01_external_sources.kicad_sch,XD24,06,24 V LOAD 06,SAFETY_24V
W1029,01_external_sources.kicad_sch,XD24,07,24 V LOAD 07,SAFETY_24V
W1030,01_external_sources.kicad_sch,XD24,08,24 V LOAD 08,SAFETY_24V
W1031,01_external_sources.kicad_sch,XD24,09,24 V LOAD 09,SAFETY_24V
W1032,01_external_sources.kicad_sch,XD24,10,24 V LOAD 10,SAFETY_24V
W1033,01_external_sources.kicad_sch,XD24,11,24 V LOAD 11,SAFETY_24V
W1034,01_external_sources.kicad_sch,XD24,12,24 V LOAD 12,SAFETY_24V
W1035,01_external_sources.kicad_sch,XD24,13,24 V LOAD 13,SAFETY_24V
W1036,01_external_sources.kicad_sch,XD24,14,24 V LOAD 14,SAFETY_24V
W1037,01_external_sources.kicad_sch,XD0,LINE,CONTROL 0 V FEED,SAFETY_0V
W1038,01_external_sources.kicad_sch,XD0,01,0 V LOAD 01,SAFETY_0V
W1039,01_external_sources.kicad_sch,XD0,02,0 V LOAD 02,SAFETY_0V
W1040,01_external_sources.kicad_sch,XD0,03,0 V LOAD 03,SAFETY_0V
W1041,01_external_sources.kicad_sch,XD0,04,0 V LOAD 04,SAFETY_0V
W1042,01_external_sources.kicad_sch,XD0,05,0 V LOAD 05,SAFETY_0V
W1043,01_external_sources.kicad_sch,XD0,06,0 V LOAD 06,SAFETY_0V
W1044,01_external_sources.kicad_sch,XD0,07,0 V LOAD 07,SAFETY_0V
W2001,02_estop_eligibility.kicad_sch,S0,R-1,CH1 RIGHT NC MARK 1,SR1_S11
W2002,02_estop_eligibility.kicad_sch,S0,L-1,CH2 LEFT NC MARK 1,SR1_S21
W2003,02_estop_eligibility.kicad_sch,S0,R-2,CH1 RIGHT NC MARK 2,SR1_S12
W2004,02_estop_eligibility.kicad_sch,S0,L-2,CH2 LEFT NC MARK 2,SR1_S22
W2005,02_estop_eligibility.kicad_sch,SR1,A1,24V SUPPLY,SR1_A1_WD_GATED
W2006,02_estop_eligibility.kicad_sch,SR1,A2,0V SUPPLY,SAFETY_0V
W2007,02_estop_eligibility.kicad_sch,SR1,S11,INPUT CH1 FEED,SR1_S11
W2008,02_estop_eligibility.kicad_sch,SR1,S12,INPUT CH1 RETURN / START FEED,SR1_S12
W2009,02_estop_eligibility.kicad_sch,SR1,S21,INPUT CH2 FEED,SR1_S21
W2010,02_estop_eligibility.kicad_sch,SR1,S22,INPUT CH2 RETURN,SR1_S22
W2011,02_estop_eligibility.kicad_sch,SR1,S34,START / EDM RETURN,SR1_START_RETURN
W2012,02_estop_eligibility.kicad_sch,SR1,13,SAFETY OUT1 IN,SRA1_S11
