hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
WPS-H01,TPS259482L paired use is extrapolated from TI's TPS2595 two-eFuse application note,obtain TI application review and validate the exact TPS259482L pair across all states,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H02,"current-limit setpoints, resistors and ITIMER values are not selected",measured inrush/RMS/peak/fault/regeneration plus received-device threshold and SOA tests,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H03,"six XC330 caps are 0.700 A, below the TPS25948 1 A minimum limit",select a branch threshold of at least 1 A and prove conductor/connector/fault protection; internal actuator cap remains separate,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H04,datasheet maximum current-limit accuracy is stated only above 3 A while every HR-30 candidate cap is below 3 A,received-lot calibration over temperature; do not treat calculated ILIM as released,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H05,"five contactor-open brake/dump circuits have no selected devices, thresholds or energy ratings",measure return energy/current/voltage and size the identical-as-built choppers and resistor banks,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H06,source absorption and reverse-energy behavior are not characterized,"manufacturer-approved application basis and bench characterization of RSP path, contactors and downstream bus",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H07,"paired startup, disable and fault timing are unvalidated","instrument EN, RCBCTRL, IN/MID/OUT, SPLYGD and ILM in both directions under fault",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H08,native schematic is not a routed PCB,"complete exact YWP footprint, placement, copper/thermal design, DFM, ERC/DRC and physical board tests",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H09,"connector, conductor, fuse and five-feed coordination remain open",close protection/conductor architecture inputs with exact parts and hot/fault evidence,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H10,dynamic walking demand and regenerative events are unmeasured,"restrained instrumented trajectories, loss/temperature/overvoltage traces and repeatable fault tests",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H11,functional safety allocation and stopping performance are not validated,qualified review of identical hardware/software plus measured stopping and fault response,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-H12,"no procurement, fabrication, connection, powered-test, motion or energization authority exists",separate signed release after every applicable hold closes,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
