board_instance,channel,axis_id,bus_id,actuator_family,feed_positive_net,feed_return_net,nominal_feed_voltage,candidate_internal_cap_a,forward_device,reverse_device,population_state,execution_state,authority,warning
WPS-RS-LLEG,1,L_HIP_YAW,RS-LLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-LLEG,2,L_HIP_ROLL,RS-LLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-LLEG,3,L_HIP_PITCH,RS-LLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-LLEG,4,L_KNEE_PITCH,RS-LLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-LLEG,5,L_ANKLE_PITCH,RS-LLEG,XM430,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,1.998670,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-LLEG,6,L_ANKLE_ROLL,RS-LLEG,XM430,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,1.998670,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-RLEG,1,R_HIP_YAW,RS-RLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-RLEG,2,R_HIP_ROLL,RS-RLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-RLEG,3,R_HIP_PITCH,RS-RLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WPS-RS-RLEG,4,R_KNEE_PITCH,RS-RLEG,XH540,ACT_MAIN_SAFE_12V,ACT_0V_CONTROLLED,12 V nominal candidate,2.499010,TPS259482LYWPR IN=BUS OUT=MID,TPS259482LYWPR IN=AXIS OUT=MID,POPULATE AS PAIRED BIDIRECTIONAL CANDIDATE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
