axis_id,board_instance,candidate_internal_cap_a,pair_ron_typ_ohm,pair_ron_hot_max_ohm,pair_loss_at_cap_typ_w,pair_loss_at_cap_hot_max_w,device_1_to_9a_range_screen,current_limit_accuracy_boundary,normal_rms_loss,execution_state,authority,warning
L_HIP_YAW,WPS-LLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_ROLL,WPS-LLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_PITCH,WPS-LLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_KNEE_PITCH,WPS-LLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ANKLE_PITCH,WPS-LLEG,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ANKLE_ROLL,WPS-LLEG,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_YAW,WPS-RLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_ROLL,WPS-RLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_PITCH,WPS-RLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_KNEE_PITCH,WPS-RLEG,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
