operation_id,phase,action,inputs,output,hsi,stop_condition,source_state,session_state,authorization_record,evidence_uri,warning
JSM-OP-001,AUTHORIZATION,"Open a controlled traveler; record source commit, reviewer roles and exact requested articles",This package and current release manifest,Signed work traveler,NONE,"Any request for power, motion, production use or unapproved substitution",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-002,ACQUIRE,"After JSM-HP-001 only, order the exact evaluation articles under the existing Batch A authority path",Signed purchase authorization,Purchase record linked to each article,HSI-001;HSI-002,"SKU, quantity or seller identity differs",NOT AUTHORIZED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-003,RECEIVE,"Receive, quarantine, photograph, weigh and record every marking, serial, lot/date and package condition",Receiving template and unopened articles,Completed INSPECT-BOM-001 evidence,HSI-001;HSI-002,"Damage, missing marking, discrepancy or evidence of substitution",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-004,INVENTORY,"Inventory H101/S102 frame, idler, every included screw by type/length and every spacer ring; keep J1 and J2 kits separate",Quarantined kits and calibrated dimensional tools,Kit inventory with photographs,HSI-002,"Missing, mixed, damaged or unidentifiable item",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-005,SOURCE CHECK,"Verify thrust washer and horn/shaft index condition, idler identity, drawing revision and manufacturer assembly cautions",Exact received articles and source register,Source-to-article reconciliation,HSI-001;HSI-002;HSI-009;HSI-011,"Nonmatching geometry, missing washer/index or incompatible horn",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-006,METROLOGY SETUP,"Qualify instruments, environmental conditions, fixture coordinate system and uncertainty budget",Instrument register and calibration records,Signed measurement-system record,HSI-003..014,Expired calibration or capability/uncertainty not accepted,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-007,LOOSE-PART METROLOGY,Measure loose actuator/frame/idler/spacer interfaces and mounting-point depths before any threaded assembly,Received parts and JSM-INS-001,Raw dimensions and point data,HSI-003..006;HSI-009..012,Any dimension cannot be traced to a datum or approved feature,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-008,FIXTURE REVIEW,"Prove the fixture supports the links without loading the actuator case, connector, cable aperture or candidate stop surfaces",Fixture method and article geometry,Signed fixture setup and photographs,HSI-007;HSI-008,"Fixture depends on case deformation, cable/connector contact or unapproved threads",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-009,TEMPORARY STACK,"After JSM-HP-005/006 only, assemble J1 and J2 separately using the exact signed temporary hardware instruction; do not add cable or threadlocker",Signed temporary-assembly authorization,Two identified unpowered metrology stacks,HSI-003..006;HSI-009..012,"Unexpected resistance, bottoming risk, gap, distortion, wrong index, damaged washer or missing spacer",NOT AUTHORIZED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-010,CONFIG FREEZE,"Freeze article serials/lots, part allocation, screw/spacer allocation, fixture transform and source commit",Assembled stacks and configuration manifest,Immutable configuration hash,HSI-001;HSI-002,Any unrecorded change,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-011,AXIAL STACK,Measure assembled fixed and moving outer faces relative to an externally realized joint axis,Frozen stack and JSM-INS-001,J1/J2 axial-face records,HSI-003;HSI-004;HSI-005;HSI-006,Axis realization or face datum uncertainty is not accepted,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-012,ANGLE DATUM,Establish external mechanical zero and record repeated bidirectional hand-positioned backlash without reading or inferring encoder position,Frozen stack and JSM-INS-002,External angle/backlash series,HSI-013;HSI-014,"Fixture load, slip, contact or any need for powered encoder data",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-013,ENVELOPE,Hand-position only at reviewer-approved measurement poses; scan both sides including screws and tool/service envelopes; never force an angle or use the actuator as a stop,Frozen supported stack and approved pose list,Registered point clouds and residuals,HSI-007;HSI-008,"Unrestrained gravity motion, interference, scanner contact or absent pose approval",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-014,ATTACHMENT,Reconcile manufacturer-supported attachment features to received metrology; mark every unused/unapproved hole and shared/longer-fastener proposal as unavailable,"Drawings, loose and assembled measurements",Attachment feature map,HSI-009;HSI-010;HSI-011;HSI-012,"Feature purpose, thread, depth or load path is inferred",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-015,MASS,Record individual and temporary-stack masses with tare and uncertainty,Received articles and JSM-INS-004,Mass evidence for closure model,HSI-017;HSI-018 (mass input only),Unidentified hardware or missing tare/configuration,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-016,DEPENDENCY HOLD,Record HSI-015..020 as external dependencies; do not simulate cable/guard/load/bumper/supplier evidence with the bare stack,HSI trace register,Open dependency record,HSI-015..020,Any attempt to promote an external dependency from nominal or bare-stack evidence,NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-017,TEARDOWN,"After evidence hold closure, unload, dismantle using the signed method, inspect threads/frames/case/washer/spacers, re-inventory and re-quarantine",Completed evidence and teardown instruction,Post-inspection and quarantine record,NONE,"Damage, galling, debris, deformation or missing article",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM-OP-018,DISPOSITION,Qualified reviewers disposition every result and nonconformance; preserve all HSI values as OPEN until signed evidence is accepted,Complete raw package,Signed metrology disposition; no build release,HSI-001..020,"Incomplete raw evidence, unsigned uncertainty or configuration mismatch",NOT EXECUTED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
