hsi,r84_route,operation,closure_possible_in_r84,remaining_dependency,source_state,session_result,accepted_value,uncertainty,evidence_uri,approver,warning
HSI-001,Received actuator identity,JSM-OP-002/003/010,YES after purchase/receipt,Program-owner approval and physical receipt,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-002,Received frame/idler identity,JSM-OP-002/003/004/010,YES after purchase/receipt,Program-owner approval and physical receipt,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-003,J1 moving axial faces,JSM-OP-007/009/011,YES after holds,Received stack and qualified temporary-assembly method,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-004,J1 fixed axial faces,JSM-OP-007/009/011,YES after holds,Received stack and qualified temporary-assembly method,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-005,J2 moving axial faces,JSM-OP-007/009/011,YES after holds,Received stack and qualified temporary-assembly method,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-006,J2 fixed axial faces,JSM-OP-007/009/011,YES after holds,Received stack and qualified temporary-assembly method,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-007,J1 side envelope,JSM-OP-008/013,SCREENING after holds,"Final configured fasteners, cable, guard and service tooling",OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-008,J2 side envelope,JSM-OP-008/013,SCREENING after holds,"Final configured fasteners, cable, guard and service tooling",OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-009,J1 fixed attachments,JSM-OP-007/014,GEOMETRY ONLY,Manufacturer-supported use and accepted load path,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-010,J1 moving attachments,JSM-OP-007/014,GEOMETRY ONLY,Manufacturer-supported use and accepted load path,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-011,J2 fixed attachments,JSM-OP-007/014,GEOMETRY ONLY,Manufacturer-supported use and accepted load path,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HSI-012,J2 moving attachments,JSM-OP-007/014,GEOMETRY ONLY,Manufacturer-supported use and accepted load path,OPEN - NOT EXECUTED,NOT EXECUTED,,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
