step,traveler_id,stage,action,completion_criterion,performed_by,result,evidence,warning
1,FFA-T01,CONFIGURATION,"Record commit, ZIP/STL hashes, printer, slicer, material lot and operator before slicing",all identities recorded; 100% scale; no G-code accepted from this package,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,FFA-T02,CALIBRATION,Print the clearance coupon before mechanism parts,actual 4 mm rod and M3 candidate pass/fail recorded for every coupon hole,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,FFA-T03,SLICE,"Slice the eleven-part plate at 100% and inspect support, adhesion, collision and estimated time",slicer screenshot/profile/time attached; no part collision or automatic scaling,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,FFA-T04,PRINT,"Print, separate and label all eleven parts",eleven identified parts plus coupon; no missing or merged solid,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,FFA-T05,INSPECT,"Measure frame, rod, hole and moving-part characteristics in the inspection register",all required measurements recorded with tool and uncertainty,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,FFA-T06,FRAME,"Dry-assemble the two plates, bridges and end blocks with recorded M3 candidates","frame closes without cracking, forced drilling or unrecorded rework",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,FFA-T07,GUIDES,Install measured smooth rods or printed proxies and temporary collars,both rods retained; no sharp protrusion; no power source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,FFA-T08,MOVERS,Install both fused finger/rack/pad proxies on both rods,both parts translate by hand across the full candidate stroke without cracking,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,FFA-T09,PINION,Insert the manual pinion shaft through the frame and engage both racks,pinion retained by M3 axle; both racks engage; knob remains accessible,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,FFA-T10,KINEMATICS,Move from closed to open and measure both jaw travels and pad gaps,closed 8 ±1 mm; open 34 ±1 mm; jaw-travel mismatch ≤0.5 mm,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,FFA-T11,CYCLING,Perform 50 slow hand-driven open/close cycles with no object,"no jam, crack, tooth skip, loose rod or retained pinch; observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,FFA-T12,DISPOSITION,Photograph four views and quarantine or accept only as a development fit article,"issue register complete; no inference to production, load, actuator or safety release",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
