hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
PCA-H01,"logic-only voltage, current-limit and OCP settings remain unreleased","received controller inspection, inrush/steady/fault measurements and qualified setting disposition",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H02,RSP source and main F0 protection are uncoordinated,"prospective-fault/current-limit behavior, exact conductor/contact limits, fuse curve and interrupt-rating study",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H03,FB1-FB8 fuse values and order codes remain unselected,eight-feed RMS/peak/inrush/regeneration/fault measurements and coordination study,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H04,eight bus-source conductor assemblies remain unselected,"as-built lengths, ambient, bundling, flex, termination, voltage-drop and fault-loop evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H05,25 actuator pairs have static/dynamic AWG22 coupon candidates but no hot ampacity release,"received-lot crimp, current-rise, bundle, duty, flex/torsion and connector-temperature tests plus CF130 written contact-boundary disposition",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H06,whole-body cap sum 46.67779 A exceeds 41.7 A source endpoint,measured state-dependent demand plus enforced aggregate policy or a different qualified source architecture,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H07,paired TPS25948 branches can return energy only to their downstream bus domain; eight contactor-open sinks remain unselected,"select and validate one absorption/clamp/dump architecture per isolated bus feed, including worst-case simultaneous regeneration",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H08,protection hardware is unbuilt and fault tests are unexecuted,"received assemblies, inspections, calibrated measurements and guarded fault-injection evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H09,Boston installation and jurisdictional requirements remain open,site circuit/disconnect/enclosure review and applicable AHJ disposition,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-H10,qualified electrical and safety review has not accepted the frozen as-built system,"signed disposition covering the identical hardware, software, settings and test evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
