j2_deg,x430_to_striker_clearance_mm,positive_stop_clearance_mm,positive_stop_state,status
15.00,13.962801152,61.875162403,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
15.25,13.924010230,61.752707967,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
15.50,13.885487294,61.629967520,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
15.75,13.847233079,61.506941694,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
16.00,13.809248312,61.383631121,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
16.25,13.771533716,61.260036438,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
16.50,13.734090010,61.136158280,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
16.75,13.696917906,61.011997288,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
17.00,13.660018113,60.887554101,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
17.25,13.623391331,60.762829363,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
17.50,13.587038260,60.637823719,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
17.75,13.550959591,60.512537814,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
18.00,13.515156011,60.386972297,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
18.25,13.479628201,60.261127818,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
18.50,13.444376838,60.135005030,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
18.75,13.409402593,60.008604586,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
19.00,13.374706132,59.881927141,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
19.25,13.340288116,59.754973355,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
19.50,13.306149200,59.627743886,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
19.75,13.272290033,59.500239396,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
20.00,13.238711260,59.372460549,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
20.25,13.205413522,59.244408010,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
20.50,13.172397451,59.116082446,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
20.75,13.139663676,58.987484526,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
21.00,13.107212820,58.858614922,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
21.25,13.075045502,58.729474307,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
21.50,13.043162333,58.600063356,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
21.75,13.011563921,58.470382746,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
22.00,12.980250867,58.340433155,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
22.25,12.949223767,58.210215266,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
22.50,12.918483213,58.079729760,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
22.75,12.888029789,57.948977322,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
23.00,12.857864075,57.817958640,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
23.25,12.827986645,57.686674402,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
23.50,12.798398069,57.555125298,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
23.75,12.769098909,57.423312023,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
24.00,12.740089724,57.291235270,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
24.25,12.711371065,57.158895737,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
24.50,12.682943480,57.026294122,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
