axis_id,part_id,kind,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,note,warning
L_ANKLE_PITCH,L_ANKLE_PITCH_OUTPUT_PULLEY,catalog P-bore-plus-tap pulley envelope,38453.823809,16.950000,67.000000,67.000000,GPA40GT5090-A-P12; received fit/set-screw/capacity validation open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_MOTOR_PULLEY,catalog P-bore-plus-tap pulley envelope,6965.448000,16.950000,29.000000,29.000000,GPA16GT5090-A-P8; received fit/set-screw/capacity validation open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_BELT,catalog belt routing envelope,11664.825788,9.000000,67.461977,99.819007,GBN250EV5GT-090; tension/capacity/life open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_GUARD,removable guard envelope,15116.272325,14.000000,85.000000,100.955623,"transparent packaging envelope; split, vents, retention and access proof open","PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_ACTUATOR,shifted manufacturer actuator,44894.794853,42.700000,28.500000,46.500000,ROBOTIS-X430 exact STEP with simplified GLB body; project mount open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_HORN,exact manufacturer horn,549.470880,4.600000,19.500000,19.500000,HN12-N101 exact STEP; thread/load/physical validation open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_MOTOR_ADAPTER,project horn-to-pulley adapter,1642.601305,18.500000,20.000000,20.000000,MA-HN12-P8; nominal CAD complete; material/fit/fasteners/capacity open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_OUTPUT_SHAFT,shouldered hollow output shaft,5579.499969,71.000000,20.000000,20.000000,OS-P12-45; nominal CAD complete; material/fit/capacity open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,L_ANKLE_PITCH_OUTPUT_CAP,removable output capture washer,542.301724,2.000000,20.000000,20.000000,20 mm OD capture washer; through-bolt/fastener selection and proof open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_ROLL,L_ANKLE_ROLL_OUTPUT_PULLEY,catalog P-bore-plus-tap pulley envelope,38453.823809,67.000000,16.950000,67.000000,GPA40GT5090-A-P12; received fit/set-screw/capacity validation open,"PRELIMINARY - WHOLE-BODY PRODUCT PACKAGING CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
