evidence_id,route_id,required_record,acceptance_boundary,state,warning
R257-EV-01,R257-RT-01,SKU/model/protocol response,Attributable date and exact three-way binding,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-02,R257-RT-01,Contents/revision/origin response,Every requested order code covered,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-03,R257-RT-01,Allocation and complete quote,"Dated, itemized and unexpired",NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-04,R257-RT-01,Shipping/return/no-substitution response,Terms accepted before purchase,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-05,R257-RT-02,Official assembly-document response,Revision/date and exact applicability,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-06,R257-RT-02,Hardware/torque/locking/reuse response,No inferred value; omissions explicit,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-07,METROLOGY,Legal identity and performing facility,Attributable provider response,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-08,METROLOGY,Method BID/NO BID schedule,All M01-M05 answered separately,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-09,METROLOGY,Equipment/software register,Maker/model/serial/version/facility,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-10,METROLOGY,Calibration certificates,"Current, traceable, result-mapped",NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-11,METROLOGY,ISO/IEC 17025 certificate and scope map,Exact results marked in/out of scope,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-12,METROLOGY,Method/support/datum proposals,Method-specific and non-damaging,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-13,METROLOGY,Uncertainty budgets,"Inputs, distributions, sensitivities, coverage",NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-14,METROLOGY,Raw-data/deliverable proposal,"Native files, transforms, residuals, logs, photos",NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-15,METROLOGY,Commercial quote,"Separate methods, assumptions, shipping/tax/insurance/expiration",NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-16,METROLOGY,Boundary acknowledgement,Unpowered/no authority signed,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-17,METROLOGY,Chain/nonconformance/return plan,Article identity and quarantine preserved,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-18,ALL,Qualified bid disposition,Independent technical acceptance; no work authority,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-19,METROLOGY,Exact attachment-hash acknowledgement and received/source feature-match report,All 79 references addressed; mismatches explicit; no substitution,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-EV-20,METROLOGY,Per-characteristic BID/NO BID and commercial/technical return,All R256-MZ-001..018 answered separately by provider,NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
