question_id,route_id,category,question,required_evidence,state,warning
R257-RQ-01,R257-RT-01,IDENTITY,Does SKU 902-0137-000 currently ship exactly XM540-W270-T with TTL communication despite the same product page package table naming XM540-W270-R?,Dated written SKU-to-model-to-protocol binding,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-02,R257-RT-01,IDENTITY,"State the model label, hardware revision and country of origin that would ship for two units of SKU 902-0137-000.",Written identity/revision/origin list,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-03,R257-RT-01,CONTENTS,"List every cable, screw, washer, spacer, horn/frame item and other included article for each of the three requested order codes.",Order-code-specific contents list,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-04,R257-RT-01,ALLOCATION,"Confirm whether two units each of 902-0137-000, 903-0270-300 and 903-0269-300 can be allocated and state lead time.",Dated allocation and lead-time statement,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-05,R257-RT-01,QUOTE,"Provide an itemized quotation to Boston, Massachusetts for quantities 2/2/2, including shipping estimate, tax treatment, fees and expiration; final ship-to address is withheld pending authorization.",Dated quote; no checkout or order,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-06,R257-RT-01,CONDITION,"Confirm all six articles would be new, manufacturer-labeled and accompanied by traceable packing records.",Written condition and traceability statement,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-07,R257-RT-01,SUBSTITUTION,"Confirm no -R actuator, alternate protocol, alternate frame/horn or substituted order code will ship without written buyer acceptance.",Written no-substitution acknowledgement,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-08,R257-RT-01,SHIPPING,"State domestic insurance/signature options and the applicable return/RMA terms for unopened, misidentified or damaged articles.",Written shipping/return terms or official policy reference,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-09,R257-RT-02,ASSEMBLY,Identify the current official X540/H101/S102 assembly documents and their revision/date.,Official document links and revision/date,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-10,R257-RT-02,HARDWARE,"State published screw designations, maximum mounting depths, spacer/thrust-washer placement, strength class and coating for this exact stack, or explicitly identify each item not specified.",Official document references or explicit not-specified response,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-11,R257-RT-02,TORQUE,"Is there a manufacturer-published temporary-assembly torque, locking-compound and screw-reuse instruction for this exact stack? Do not estimate.",Official document reference or explicit statement no value is supplied,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-RQ-12,R257-RT-02,BOUNDARY,"Confirm the responder name/role, response date and whether the answer is manufacturer-authorized technical guidance.",Dated attributable written response,UNSENT / NOT RECEIVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
