content_id,parent_orderable,manufacturer,order_code,included_item,required_quantity,source,status,notes
GKC-001,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,Parent frame set,1,https://www.robotis.us/openmanipulator-x-frame-set-rm-x52/,proposed,"One orderable parent kit; current inventory and price are not controlled"
GKC-002,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,FR12-H104K frame,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Use MV0-FC03 before cutting MV0-002"
GKC-003,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,HN12-I101 idler set,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Required at the XM430 idler face"
GKC-004,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,PALM GRIPPER,2,OpenMANIPULATOR-X assembly manual,received_verification_required,"Add only released broad compliant object-contact pads"
GKC-005,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,LINK ROD,2,OpenMANIPULATOR-X assembly manual,received_verification_required,"Guarded linkage item"
GKC-006,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,FLANGE BUSH,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Verify free motion and retention"
GKC-007,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,CRANK ARM,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Guarded pinch-zone item"
GKC-008,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,RAIL BLOCK,2,OpenMANIPULATOR-X assembly manual,received_verification_required,"Guarded pinch-zone item"
GKC-009,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,RAIL BRACKET LEFT,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Verify label or geometry against manual"
GKC-010,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,RAIL BRACKET RIGHT,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Verify label or geometry against manual"
GKC-011,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,RUBBER PAD,2,OpenMANIPULATOR-X assembly manual,received_verification_required,"Manufacturer pad is not project force or wear validation"
GKC-012,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,X3P-100 cable,1,OpenMANIPULATOR-X assembly manual,received_verification_required,"Exact received length connector keying and moving-harness allocation required"
GKC-013,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M2.5x17,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-014,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M2.5x8,8,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-015,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,NUT M2.5,8,OpenMANIPULATOR-X assembly manual,received_verification_required,"Thread acceptance and retention remain open"
GKC-016,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M2.5x12,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-017,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M2.5x4,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-018,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M2x4,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-019,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,WB M3x10,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Received grade coating torque reuse and allocation are not published selections"
GKC-020,OpenMANIPULATOR-X Frame Set RM-X52,ROBOTIS,905-0023-000,NUT M3,4,OpenMANIPULATOR-X assembly manual,received_verification_required,"Thread acceptance and retention remain open"
