item_id,closure_class,order_code_state,quantity_state,primary_source_state,application_state,allowed_action,closure_basis
BOM-001,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"Exact current 8GB unit-only candidate from the Raspberry Pi configurator; receiving, cooling, storage/image, retention, runtime, thermal and application evidence remain open"
BOM-002,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"Exact current US Type-A black candidate from the Raspberry Pi configurator; received identity, site, cable retention, load/startup/brownout and thermal evidence remain open"
BOM-003,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,USB to DYNAMIXEL TTL/RS-485 interface; received USB connector revision and retained cable remain acceptance inputs
BOM-004,excluded_from_hr_v0_candidate,NOT APPLICABLE TO CURRENT CANDIDATE,NOT APPLICABLE,HISTORICAL RECORD,EXCLUDED,EXCLUDED,Official maximum is 10.0 A versus 11.1 A summed actuator stall screen; prohibited from carrying operational HR-V0 actuator current
BOM-005,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,12 V TTL actuator; 10.6 N m stall at 12 V and 4.4 A; stall is not a continuous rating; verify received -T interface and model readback
BOM-006,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Same controlled candidate as shoulder; final use gated by received inspection and thermal/current characterization
BOM-007,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,TTL actuator candidate for gripper architecture; verify received -T interface and model readback
BOM-008,excluded_from_hr_v0_candidate,NOT APPLICABLE TO CURRENT CANDIDATE,NOT APPLICABLE,HISTORICAL RECORD,EXCLUDED,EXCLUDED,Retained only for V2.1 provenance; V3 removes project-built mains and proposes external GST280A12-C6P
BOM-009,excluded_from_hr_v0_candidate,NOT APPLICABLE TO CURRENT CANDIDATE,NOT APPLICABLE,HISTORICAL RECORD,EXCLUDED,EXCLUDED,Retained only for V2.1 provenance; V3 removes project-built mains; the historical GST40A24-P1J proposal was superseded by the current GlobTek factory-cord candidate
BOM-010,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,V3 uses separate SR1 RESET eligibility and SRA1 ARM/EDM stages; monitored falling-edge application review and physical tests remain required
BOM-011,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,"24 VDC coil with integrated 1NO+1NC mirror/mechanically linked auxiliaries; MKTED210011EN Catalog 2026 shows 32 A at 24 V for LC1D25 with one to three poles in series, but the 11.1 A HR-V0 screen is below that table and triggers the catalog critical-current/support warning; exact 12 V regenerative duty, protection coordination, loaded interruption and qualified review remain required"
BOM-012,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Exact dual-NC candidate recorded; received bottom-view block identity continuity terminal mapping panel fit and qualified review required before selection
BOM-013,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Independent heartbeat monitor candidate; exact GPIO firmware and failure analysis open; not safety-rated
BOM-014,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Two independently driven ordinary relay candidates; official terminal drawing received mapping DC application and common-cause review required; no PL/SIL credit
BOM-015,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,F0 through F3 use the proposed ATOF family only; no ampere value is released. Selection requires source fault current cable connector inrush regeneration duty ambient bundling time-current interrupting and jurisdiction evidence
BOM-019,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact non-LED 5 x 20 mm DIN fuse-terminal holder candidate only; fuse links conductors ferrules grouping loss source/coil behavior coordination received evidence and qualified review remain SELECTION REQUIRED
BOM-020,integrated_no_separate_purchase,INTEGRATED IN PARENT ITEM,PARENT QUANTITY CONTROLS,CURRENT PRIMARY SOURCE RECORDED,RECEIVED VERIFICATION REQUIRED,INTEGRATED NO SEPARATE PURCHASE,BD coil includes bidirectional peak-limiting diode; do not add an assumed external suppression network; validate received coil dropout and stopping time
BOM-016,excluded_from_hr_v0_candidate,NOT APPLICABLE TO CURRENT CANDIDATE,NOT APPLICABLE,HISTORICAL RECORD,EXCLUDED,EXCLUDED,Replaced by controlled MV0-001 through MV0-004 rows; retained for history
BOM-017,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Preliminary 900 x 400 x 950 mm internal space and 6 mm panel geometry are planning values only; exact material grade thickness frame fasteners support spacing impact retention access probe and service method require sweep/stop/drop evidence
BOM-018,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Orderable parent kit for the allocated gripper mechanism subset in bom/hr-v0-gripper-kit-contents.csv; R108 rejects FR12-G101GM as a sole substitute because its published frame-set scope does not establish the complete mechanism; FR12-H104K fit guard pads exact fasteners measured mass grip-force characterization and received inspection remain release blockers
BOM-021,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Manufacturer STEP/PDF controlled locally; expected kit contents in bom/hr-v0-frame-kit-contents.csv; PCD22 fit output stack fasteners proof and received inspection required
BOM-022,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Manufacturer STEP/PDF controlled locally; expected kit contents in bom/hr-v0-frame-kit-contents.csv; PCD22 fit output stack fasteners proof and received inspection required
BOM-023,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,R69 exact architecture uses two S102 sets with corrected XM540 registration; evaluation purchase requires program-owner approval and received contents fit tool access fastener allocation load proof and qualified application release remain required
BOM-024,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two 500 mm longitudinal rails two 240 mm transverse rails and one 500 mm column produce the candidate 500 x 320 mm square-cut outside frame without positive-volume member overlap; supplier quote receiving inspection joint proof and application release remain required
BOM-025,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact candidate allocation is four vertical-ridge base-corner brackets plus two opposed Y-face column brackets; manufacturer suggests two 75-3422 bolt assemblies per bracket; received fit tool access actual-joint torque slip proof and qualified mechanical acceptance remain required
BOM-026,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,R57 candidate cut lengths are 100 mm and 50 mm with the 40 mm section vertical; supplier end-service confirmation cut tolerance end squareness finish receiving inspection interface proof and qualified release remain required
