item_id,subsystem,manufacturer,manufacturer_part_number,quantity,status,notes
HR30-001,shoulder_pitch_roll,ROBOTIS,XM540-W270-T,4,proposed,"Two per arm; final current limit from V0"
HR30-002,elbows,ROBOTIS,XM540-W270-T,2,proposed,"Common V0 actuator; down-selection possible only after load test"
HR30-003,waist,ROBOTIS,XM540-W270-T,1,proposed,"Yaw only; 15 deg/s initial limit"
HR30-004,wrists,ROBOTIS,XM430-W350-T,2,proposed,"Rotation axes"
HR30-005,grippers,ROBOTIS,XM430-W350-T,2,proposed,"Compliant parallel grippers"
HR30-006,head,ROBOTIS,XC430-W240-T,2,proposed,"Pan and tilt; exact payload/thermal check required"
HR30-007,compute,Raspberry Pi,Raspberry Pi 5 8GB,1,proposed,"High-level supervisor; safety chain remains independent"
HR30-008,interface,ROBOTIS,U2D2,2,proposed,"Separate upper-body bus segmentation under review"
HR30-009,safety_controller,Pilz,PNOZ s4 24 VDC 750104,1,proposed,"Falling-edge monitored-start topology; output contact protection suppression qualified application review and physical tests remain required"
HR30-010,actuator_supply,Mean Well,12V 50A-class enclosed supply,1,selection_required,"Exact model only after simultaneous-current and enclosure thermal model"
HR30-011,master_disconnect,Schneider Electric,DC-rated 50A-class redundant contactors,2,selection_required,"V0 LC1D25BD is not automatically suitable for HR-30A"
HR30-012,frame,Custom,6061-T6 internal skeleton,1,design_required,"Metal primary load paths and restraint attachment"
HR30-013,pedestal,Custom,steel floor or bench pedestal,1,design_required,"Bolted through pelvic metal structure"
HR30-014,shell,Custom,tool-removable polymer covers,1,design_required,"3mm minimum edge radius; pinch access blocked"
HR30-015,camera,Raspberry Pi,Camera Module 3,1,proposed,"Physical power-driven privacy indicator required"
HR30-016,audio,Selection required,low-power speaker and amplifier,1,selection_required,"Audio cannot trigger motion directly"
