batch_line,parent_item_id,manufacturer,order_code,quantity,purpose,primary_source,source_revision_or_access,receiving_route,approval_state,release_use
EVA-001,BOM-003,ROBOTIS,"U2D2; SKU 902-0132-000",1,Received USB-interface identity and connector/cable inspection,https://robotis.us/u2d2/,accessed 2026-08-07,INSPECT-BOM-001,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-002,BOM-005,ROBOTIS,"XM540-W270-T; SKU 902-0137-000",1,Shoulder identity current thermal and fixture characterization,https://robotis.us/dynamixel-xm540-w270-t/,accessed 2026-08-07,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-CTRL-006,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-003,BOM-006,ROBOTIS,"XM540-W270-T; SKU 902-0137-000",1,Elbow identity current thermal and fixture characterization,https://robotis.us/dynamixel-xm540-w270-t/,accessed 2026-08-07,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-CTRL-006,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-004,BOM-007,ROBOTIS,"XM430-W350-T; SKU 902-0124-000",1,Gripper actuator identity current force and thermal characterization,https://robotis.us/dynamixel-xm430-w350-t/,accessed 2026-08-07,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-GRIP-001,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-005,BOM-010,Pilz,"PNOZ s4 24 VDC; order 750104",2,Received safety-relay identity terminal and candidate-mode evaluation,https://www.pilz.com/en-US/eshop/product/750104,"product page rechecked 2026-08-07; manual 21396-EN-23 dated 2026-06-22",INSPECT-BOM-001;TEST-SAFE-001;TEST-SAFE-003,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-006,BOM-011,Schneider Electric,LC1D25BD,2,Received contactor identity coil/contact map and guarded DC application tests,https://www.se.com/us/en/product/LC1D25BD/,"product page accessed 2026-08-07; catalog MKTED210011EN 2026",INSPECT-BOM-001;TEST-SAFE-004;TEST-ELEC-006,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-007,BOM-012,IDEC,XW1E-BV402M-R,1,Received dual-NC positively-opening E-stop candidate mapping,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,"product page accessed 2026-08-07; EP1430 supporting file updated 2024-06-24",INSPECT-BOM-001;INSPECT-ELEC-003,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-008,BOM-013,Raspberry Pi,"Raspberry Pi Pico 1; SC0915",1,Received ordinary watchdog-controller identity and target HIL,https://www.raspberrypi.com/products/raspberry-pi-pico/,accessed 2026-08-07,INSPECT-BOM-001;TEST-SAFE-002,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-009,BOM-014,Phoenix Contact,"PLC-RSC-24DC/21-21; item 2967060",2,Received ordinary watchdog-relay identity polarity continuity and welded-contact testing,https://www.phoenixcontact.com/en-pc/products/relay-module-plc-rsc-24dc-21-21-2967060,"product data maintenance 2026-04-01; accessed 2026-08-07",INSPECT-BOM-001;TEST-SAFE-002;ANALYSIS-SAFE-002,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-010,BOM-018,ROBOTIS,"OpenMANIPULATOR-X Frame Set RM-X52; SKU 905-0023-000",1,Received gripper mechanism inventory fit mass and guarded force work,https://www.robotis.us/openmanipulator-x-frame-set-rm-x52/,accessed 2026-08-07,INSPECT-BOM-001;INSPECT-GRIP-001;INSPECT-MECH-008,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
EVA-011,BOM-021,ROBOTIS,"FR13-H101K Set; SKU 903-0270-300",1,Shoulder output-frame kit fit inventory mass and fastener evidence,https://robotis.us/fr13-h101k-set/,accessed 2026-08-07,INSPECT-BOM-001;INSPECT-MECH-003;INSPECT-MECH-005,PROGRAM OWNER APPROVAL REQUIRED,EVALUATION ONLY
