control_id,part_id,feature,proposed_control,derivation,material_condition,standard_interpretation,released,warning
MV0-C01-FCF-01,MV0-C01,datum A flatness,0.15 mm,existing flatness limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-02,MV0-C01,opposite broad face parallelism to A,0.10 mm | A,existing parallelism limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-03,MV0-C01,four 32 x 16 M2.5 interface holes,diametrical position 0.14 mm | A | B/C as applicable,0.14 mm is only a review proposal derived from prior +/-0.05 mm rectangular coordinate envelope; no equivalence/fit approval claimed,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-04,MV0-C01,two M5 end-tap holes,diametrical position 0.14 mm | A | B/C as applicable,same review-only derivation; contact rails require separate profile/contact disposition,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-01,MV0-C04,datum A flatness,0.15 mm,existing flatness limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-02,MV0-C04,opposite broad face parallelism to A,0.10 mm | A,existing parallelism limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-03,MV0-C04,four asymmetric H104 holes,diametrical position 0.14 mm | A | B/C as applicable,0.14 mm is only a review proposal derived from prior +/-0.05 mm rectangular coordinate envelope; no equivalence/fit approval claimed,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-04,MV0-C04,two M5 end-tap holes,diametrical position 0.14 mm | A | B/C as applicable,same review-only derivation; contact rails require separate profile/contact disposition,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-01,MV0-C05,datum A flatness,0.15 mm,existing flatness limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-02,MV0-C05,opposite broad face parallelism to A,0.10 mm | A,existing parallelism limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-03,MV0-C05,four 32 x 16 S102 holes,diametrical position 0.14 mm | A | B/C as applicable,0.14 mm is only a review proposal derived from prior +/-0.05 mm rectangular coordinate envelope; no equivalence/fit approval claimed,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-04,MV0-C05,two 60 mm-spaced column holes,diametrical position 0.14 mm | A | B/C as applicable,same review-only derivation; contact rails require separate profile/contact disposition,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-FCF-01,MV0-C06,datum A flatness,0.15 mm,existing flatness limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-FCF-02,MV0-C06,opposite broad face parallelism to A,0.10 mm | A,existing parallelism limit retained,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-FCF-03,MV0-C06,four 32 x 16 H101 holes,diametrical position 0.14 mm | A | B/C as applicable,0.14 mm is only a review proposal derived from prior +/-0.05 mm rectangular coordinate envelope; no equivalence/fit approval claimed,RFS PROPOSED,QUALIFIED REVIEW REQUIRED,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
