reference,footprint,x_mm,y_mm,rotation_deg,side,state,warning
CDEC1,Murata_GRM21_Reflow_Nominal,68.000,49.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC2,Murata_GRM21_Reflow_Nominal,68.000,34.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC3,Murata_GRM21_Reflow_Nominal,87.000,55.400,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC4,Murata_GRM21_Reflow_Nominal,87.000,47.400,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC5,Murata_GRM21_Reflow_Nominal,87.000,39.400,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC6,Murata_GRM21_Reflow_Nominal,87.000,31.400,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI1,TDK_CGA3_Reflow_Nominal,49.000,61.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI2,TDK_CGA3_Reflow_Nominal,49.000,50.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI3,TDK_CGA3_Reflow_Nominal,49.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI4,TDK_CGA3_Reflow_Nominal,49.000,35.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELD1,Phoenix_MKDS_1_6_3P5_1751280,6.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JLOGIC1,Phoenix_MKDS_1_6_3P5_1751280,114.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH1,MountingHole_3.2mm_M3,4.500,4.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH2,MountingHole_3.2mm_M3,115.500,4.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH3,MountingHole_3.2mm_M3,4.500,85.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH4,MountingHole_3.2mm_M3,115.500,85.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RGP1,Panasonic_ERJ6_Reflow_Nominal,92.000,58.950,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RGP2,Panasonic_ERJ6_Reflow_Nominal,92.000,50.950,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RGP3,Panasonic_ERJ6_Reflow_Nominal,92.000,42.950,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RGP4,Panasonic_ERJ6_Reflow_Nominal,92.000,34.950,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD1,Panasonic_ERJ6_Reflow_Nominal,76.000,60.600,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD2,Panasonic_ERJ6_Reflow_Nominal,76.000,52.600,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD3,Panasonic_ERJ6_Reflow_Nominal,76.000,44.600,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD4,Panasonic_ERJ6_Reflow_Nominal,76.000,36.600,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPO1,Panasonic_ERJ6_Reflow_Nominal,98.000,61.200,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPO2,Panasonic_ERJ6_Reflow_Nominal,98.000,53.200,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPO3,Panasonic_ERJ6_Reflow_Nominal,98.000,45.200,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
