sheet,reference,terminal,function,net,state,warning
01_boundaries.kicad_sch,JFIELD1,1,SR1 STATUS,SR1_STATUS,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,2,SRA1 STATUS,SRA1_STATUS,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,3,K1 STATUS,K1_STATUS,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,4,K2 STATUS,K2_STATUS,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,5,FIELD RETURN,SAFETY_0V,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,6,N/C,INTENTIONALLY_UNUSED_JFIELD1_6,EXACT PCB TERMINAL CANDIDATE - PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,1,PI 3V3 CANDIDATE,PI_3V3_CANDIDATE,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,2,COMPUTE RETURN,COMPUTE_0V,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,3,OBS SR1,OBS_SR1_PI,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,4,OBS SRA1,OBS_SRA1_PI,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,5,OBS K1,OBS_K1_PI,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,6,OBS K2,OBS_K2_PI,EXACT PCB TERMINAL CANDIDATE - PI/HARNESS/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH1,1,TYPE-3 THRESHOLD/SURGE A,SR1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH1,2,TYPE-3 THRESHOLD/SURGE B,SR1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN1,1,CURRENT LIMIT A,SR1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
