net,node_count,nodes,warning
COMPUTE_0V,23,01_boundaries.kicad_sch:JLOGIC1:2 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:1 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:8 | 03_k1_k2_inputs.kicad_sch:UOBS2:1 | 03_k1_k2_inputs.kicad_sch:UOBS2:8 | 04_compute_outputs.kicad_sch:RPD1:2 | 04_compute_outputs.kicad_sch:RPO1:2 | 04_compute_outputs.kicad_sch:RPD2:2 | 04_compute_outputs.kicad_sch:RPO2:2 | 04_compute_outputs.kicad_sch:RPD3:2 | 04_compute_outputs.kicad_sch:RPO3:2 | 04_compute_outputs.kicad_sch:RPD4:2 | 04_compute_outputs.kicad_sch:RPO4:2 | 04_compute_outputs.kicad_sch:UBUF1:3 | 04_compute_outputs.kicad_sch:UBUF2:3 | 04_compute_outputs.kicad_sch:UBUF3:3 | 04_compute_outputs.kicad_sch:UBUF4:3 | 04_compute_outputs.kicad_sch:CDEC1:2 | 04_compute_outputs.kicad_sch:CDEC2:2 | 04_compute_outputs.kicad_sch:CDEC3:2 | 04_compute_outputs.kicad_sch:CDEC4:2 | 04_compute_outputs.kicad_sch:CDEC5:2 | 04_compute_outputs.kicad_sch:CDEC6:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_JFIELD1_6,1,01_boundaries.kicad_sch:JFIELD1:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UBUF1_1,1,04_compute_outputs.kicad_sch:UBUF1:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UBUF2_1,1,04_compute_outputs.kicad_sch:UBUF2:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UBUF3_1,1,04_compute_outputs.kicad_sch:UBUF3:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UBUF4_1,1,04_compute_outputs.kicad_sch:UBUF4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_13,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:13,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_6,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_7,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:7,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_9,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:9,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_13,1,03_k1_k2_inputs.kicad_sch:UOBS2:13,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_6,1,03_k1_k2_inputs.kicad_sch:UOBS2:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_7,1,03_k1_k2_inputs.kicad_sch:UOBS2:7,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_9,1,03_k1_k2_inputs.kicad_sch:UOBS2:9,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_IN,2,03_k1_k2_inputs.kicad_sch:RSN3:2 | 03_k1_k2_inputs.kicad_sch:UOBS2:15,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
