source_path,sha256,role,warning
electrical/kicad/project-button-v3-p1.15-carrier-candidate/project-button-v3-p1.15-carrier-candidate.kicad_pro,50162f189a6fc729abf873758269eb5cfe09868152363301af6f6d3ea0d774b4,system electrical schematic,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
electrical/kicad/hr-v0-dxl-star-p0.2-carrier-candidate/hr-v0-dxl-star-p0.2-carrier-candidate.kicad_pro,bc8c87a4f143c1e0c009df1dc835ffe7572dac1d3d5481bdaf397c06e59b6209,actuator star board,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
electrical/kicad/hr-v0-dxl-protection-carrier-p0.3/hr-v0-dxl-protection-carrier-p0.3.kicad_pro,167fe5724645cad069c482b89734a92f2dd0d7bb5efebccaeedb6ac51bf0d0e6,branch current-limiter carrier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/dxl-protection-carrier-harness-p0.1/package-status.json,085142f5effef03d5b048cb82557cdc443a322a0a371a5a2ed79edbf5df0aac0,carrier harness,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/dxl-carrier-integration-p0.1/package-status.json,ca087fa3be3468f3eec61f240263e99f12698ac98a5624dc59e64214c7c7a127,carrier integration,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/dxl-carrier-mount-p0.1/package-status.json,206243628e69336696bb9d5888e7c0efa2ffb27d1fb0702d6f2f39b84f772d61,carrier mounting interface,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
bom/bom.csv,912635295060810636082887c8009913ddd82f76b123e2891de34d5e6784e369,system BOM,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/release-candidate.json,600476085d4f60031ce4df71e8dc98ef794f51dad2bd5ca7360834c7d4c3f26c,release metadata,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/dxl-star-manufacturing-p0.2/package-status.json,f150b49463aa2d6b4563aac9cced7dc0a70004661670f30443b993703ca16470,actuator star manufacturing review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
docs/hr-v0-watchdog-p115-identity-correction-p0.1.md,19b0ca60d6478ebfd1f2501ecee1ecb48e0e1941d71c1603dcc88100a32fa7ab,watchdog P1.15 native identity,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/e2-hardware-p0.4/e2-hardware-summary.json,bb91996addc226807893ed46db20f64c4a7a4ae2e36b7fd2bc02497e2f97695c,control-only hardware slice,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
