step,state,action,required_record,fail_closed_rule,execution,authority
P01,before hardware,"qualified electrical reviewer approves the station drawing, instrument choice, limits, test location and restraint",signed approval,STOP if absent,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P02,de-energized,"inspect received U2D2/PHB revision, supplied standoffs, connectors, cables, lead crimps and tray fit",100% visual/record,STOP on mismatch,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P03,de-energized,verify Mini-Fit pin 1 to black/negative and pin 2 to red/positive; verify no shorts,continuity record,STOP on failure,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P04,de-energized,disconnect one named actuator from every whole-body power/data connector and mechanically support its output,axis signoff,STOP if coupled to a load,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P05,de-energized,fit exactly one matching X3P or X4P cable; keep the unused DUT port and both unused PHB power inlets empty,photo/check,STOP if ambiguous,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P06,output off,"configure calibrated supply to candidate 11.0 V, 0.25 A current limit and candidate 12.0 V OVP",independent readback,STOP if configuration cannot be locked,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P07,output off,connect USB; discover only the expected protocol with no broadcast write and no torque/motion command,host log started,STOP on multiple devices,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P08,first power,"turn PHB switch on, then enable supply output; keep a hand on output-off control",current/voltage trace,output off immediately on any anomaly,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P09,read only,"ping and read model, firmware, present voltage, temperature, hardware error and Torque Enable",saved readback,PASS only if Torque Enable=0 and identity matches,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P10,shutdown,"disable supply output, switch PHB off, wait for voltage to decay, disconnect DUT, label record",zero-voltage verification,do not unplug under power,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P11,later stage,assign proposed global ID only under a separately signed configuration procedure,write/readback audit,not first-energization authority,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
