sheet,reference,terminal,pin_name,net,status
01_current_limited_source.kicad_sch,PS1,+,PROGRAMMABLE POSITIVE,CL_POS,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,PS1,-,PROGRAMMABLE RETURN,CL_RET,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,PS1,PE,CLASS I PROTECTIVE EARTH,FACILITY_PE,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,P1,RED,SOURCE POSITIVE,CL_POS,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,P1,BLACK,SOURCE RETURN,CL_RET,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,P1,RED-OUT,18 AWG RED,LEAD_POS,CANDIDATE / VALIDATION OPEN
01_current_limited_source.kicad_sch,P1,BLACK-OUT,18 AWG BLACK,LEAD_RET,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,J1,1,POWER RETURN,LEAD_RET,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,J1,2,POWER POSITIVE,LEAD_POS,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,P1,MINI-FIT RETURN,LEAD_RET,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,P2,MINI-FIT POSITIVE,LEAD_POS,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,G3,TTL GND,DUT_GND,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,V3,TTL VDD,DUT_VDD,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,D3,TTL DATA,TTL_DATA,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,G4,RS485 GND,DUT_GND,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,V4,RS485 VDD,DUT_VDD,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,D+,RS485 DATA+,RS485_DP,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,PHB1,D-,RS485 DATA-,RS485_DN,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,U1,USB,USB-C OR RECEIVED REVISION,HOST_USB,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,U1,TTL,TTL DATA,TTL_DATA,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,U1,D+,RS485 DATA+,RS485_DP,CANDIDATE / VALIDATION OPEN
02_power_hub_and_usb.kicad_sch,U1,D-,RS485 DATA-,RS485_DN,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X4,1,GND,DUT_GND,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X4,2,VDD,DUT_VDD,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X4,3,DATA+,RS485_DP,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X4,4,DATA-,RS485_DN,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X4,DUT,ONE RS485 ACTUATOR,DUT_RS485,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X3,1,GND,DUT_GND,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X3,2,VDD,DUT_VDD,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X3,3,DATA,TTL_DATA,CANDIDATE / VALIDATION OPEN
03_one_actuator_selection.kicad_sch,X3,DUT,ONE TTL ACTUATOR,DUT_TTL,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,HOST1,USB,USB TO U2D2,HOST_USB,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,HOST1,TORQUE,TORQUE ENABLE MUST READ 0,TORQUE_ZERO,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,HOST1,READ,PING / MODEL / VOLTAGE / TEMPERATURE / ERROR,READ_ONLY_REQUEST,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,DUT1,RS,RS485 FAMILY INPUT,DUT_RS485,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,DUT1,TTL,TTL FAMILY INPUT,DUT_TTL,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,DUT1,T0,TORQUE ENABLE = 0,TORQUE_ZERO,CANDIDATE / VALIDATION OPEN
04_no_motion_boundary.kicad_sch,DUT1,READ,READ-ONLY TELEMETRY,READ_ONLY_REQUEST,CANDIDATE / VALIDATION OPEN
