gate_id,domain,status,evidence_added,remaining_evidence,gate_closed,warning
EG-002,configuration,partial,HR-V0-P121-DCR-DROP-P0.1,"accepted immutable commit, clean-clone reproduction and qualified configuration acceptance; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-003,BOM,partial,HR-V0-P121-DCR-DROP-P0.1,"remaining exact selections, supplier/process evidence, received inspection and signed release; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; mechanical DFM/FAI, received identity, fit, proof and qualified release; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-004,electrical,partial,HR-V0-P121-DCR-DROP-P0.1,"supplier-normalized watchdog data, provider/process acceptance, physical terminals, ratings, wiring, tests and qualified review; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; R223 panel topology/placement independent review, received fit and physical closure; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-014,branch protection,partial,HR-V0-P121-DCR-DROP-P0.1,"carrier PCBA manufacture, characterization, fault/thermal/EMC evidence and acceptance; R223 panel topology/placement independent review, received fit and physical closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-015,harness and installation,partial,HR-V0-P121-DCR-DROP-P0.1,"source/star terminations, cut lengths, routing, crimp/pull/continuity evidence and fit; observation assemblies/harness BOM closure, Pi acceptance, DFM, exact lengths and physical verification; R223 panel topology/placement independent review, received fit and physical closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-010,compute power,partial,HR-V0-P121-DCR-DROP-P0.1,"Raspberry Pi 5 3V3 header-load and RP1 DC acceptance; STANDBY/ramp/brownout/back-power measurements; qualified review; R223 panel topology/placement independent review, received fit and physical closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-012,diagnostic safety boundary,partial,HR-V0-P121-DCR-DROP-P0.1,"qualified fault/CCF review and physical fault injection proving the zero-credit observation path cannot impair credited E-stop or restart prevention; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-005,mechanical configuration,partial,HR-V0-P121-DCR-DROP-P0.1,"qualified acceptance of exact P0.8 integration; received article identity, dimensional FAI, complete mass/inertia, fit and as-built configuration evidence; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-006,collision and stop validation,partial,HR-V0-P121-DCR-DROP-P0.1,"as-built guard/cable/tolerance/deformation collision proof, stop load and stopping-travel tests, backlash/compliance/uncertainty closure and qualified acceptance; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-018,unpowered panel installation,partial,HR-V0-P121-DCR-DROP-P0.1,"released holes/cuts/wires/terminations; received parts; as-built point-to-point, pull, torque, label, continuity, polarity and isolation evidence; signed release; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EG-020,electrical application evidence,partial,HR-V0-P121-DCR-DROP-P0.1,"fault/inrush/current/ambient/bundle/length inputs; protection coordination; temperature/fault/no-backfeed evidence; qualified acceptance; R241 junction/conductor/fill/physical/qualified closure; R242 color/DCR/cut/protection/full-fill/thermal/physical/qualified closure; R243 terminal application, bits, calibration, received coupons, installed retention/torque and qualified acceptance; R244 received DCR/cuts/complete-circuit limits, exact bits, physical and qualified acceptance",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
