j2_deg,metal_clearance_mm,metal_intersection_mm3,classification,status
115.00,1.913781878,0.000000000,SOFT_LIMIT,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.05,1.882225765,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.10,1.850648482,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.15,1.819050053,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.20,1.787430502,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.25,1.755789853,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.30,1.724128130,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.35,1.692445358,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.40,1.660741559,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.45,1.629016760,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.50,1.597270983,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.55,1.565504253,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.60,1.533716595,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.65,1.501908031,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.70,1.470078587,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.75,1.438228287,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.80,1.406357155,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.85,1.374465215,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.90,1.342552492,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
115.95,1.310619010,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.00,1.278664793,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.05,1.246689865,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.10,1.214694251,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.15,1.182677976,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.20,1.150641063,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.25,1.118583537,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.30,1.086505423,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.35,1.054406745,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.40,1.022287527,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.45,0.990147794,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.50,0.957987570,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.55,0.925806879,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.60,0.893605747,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.65,0.861384198,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.70,0.829142256,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.75,0.796879946,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.80,0.764597293,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.85,0.732294320,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.90,0.699971053,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
116.95,0.667627517,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.00,0.635263735,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.05,0.602879733,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.10,0.570475535,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.15,0.538051166,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.20,0.505606650,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.25,0.473142013,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.30,0.440657278,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.35,0.408152472,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.40,0.375627618,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.45,0.343082741,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.50,0.310517866,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.55,0.277933018,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.60,0.245328221,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.65,0.212703501,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.70,0.180058883,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.75,0.147394390,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.80,0.114710049,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.85,0.082005884,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.90,0.049281919,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
117.95,0.018319985,0.000000000,APPROACH,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
118.00,0.000000000,0.000000003,TARGET,NOMINAL CAD ONLY - BUMPER/TOLERANCE/STOPPING/LOAD/PHYSICAL VALIDATION OPEN
