j2_deg,nonintentional_intersection_mm3,nonintentional_pairs,stop_pair_intersection_mm3,classification,status
15.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
15.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
16.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
16.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
17.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
17.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
18.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
18.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
19.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
19.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
20.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
20.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
21.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
21.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
22.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
22.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
23.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
23.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
24.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
24.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
25.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
25.5,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
26.0,0.000000000,,0.000000000,SAMPLED_POSE,NOMINAL RIGID BODY SAMPLE ONLY - CONTINUOUS/TOLERANCE/CABLE/GUARD/PHYSICAL PROOF OPEN
