case_id,stage,circuit,references,nets,source_state,injection_or_action,required_monitors,acceptance_basis,mandatory_prerequisites,execution_state,warning
BF-001,A - UNPOWERED,U2D2 VDD exclusion,U1 TTL-2,INTENTIONALLY_UNUSED_U2D2_VDD,ALL SOURCES PHYSICALLY ABSENT,Inspect and continuity-test the U2D2 VDD position; no contact or copper path may be present.,four-wire resistance/continuity record; connector photos,No conductive path to ACT_12V_BUS or J1_VDD/J2_VDD/J3_VDD; instrument threshold is SELECTION REQUIRED.,Received U2D2 and released harness article; calibrated meter; signed unpowered test authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-002,A - UNPOWERED,Controller-cable VDD omission,INJ1 CTRL:2; JC1:2,NO NET / VDD OMITTED,ALL SOURCES PHYSICALLY ABSENT,Inspect both cavity-2 positions and prove the custom controller cable contains no VDD contact or conductor.,connector microscopy/photos; end-to-end continuity matrix,Both cavity-2 positions are empty and isolated from all VDD rails; threshold is SELECTION REQUIRED.,Exact received housings/contacts/tooling; released harness drawing; crimp inspection acceptance.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-003,A - UNPOWERED,Branch-1 isolation,F1; INJ1 PWR1/ACT1; J1,ACT_12V_BUS; J1_VDD; ACT_0V_PE_BONDED,ALL SOURCES PHYSICALLY ABSENT,Remove F1 and map continuity from J1 pin 2 to the common bus and the other branch VDD pins.,four-wire resistance matrix; fuse-position photos,"J1_VDD is open from ACT_12V_BUS, J2_VDD and J3_VDD while the common return remains as designed.",Exact assembled distribution; accepted INJ1 first article; selected holder and conductor identities.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-004,A - UNPOWERED,Branch-2 isolation,F2; INJ1 PWR2/ACT2; J2,ACT_12V_BUS; J2_VDD; ACT_0V_PE_BONDED,ALL SOURCES PHYSICALLY ABSENT,Remove F2 and map continuity from J2 pin 2 to the common bus and the other branch VDD pins.,four-wire resistance matrix; fuse-position photos,"J2_VDD is open from ACT_12V_BUS, J1_VDD and J3_VDD while the common return remains as designed.",Exact assembled distribution; accepted INJ1 first article; selected holder and conductor identities.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-005,A - UNPOWERED,Branch-3 isolation,F3; INJ1 PWR3/ACT3; J3,ACT_12V_BUS; J3_VDD; ACT_0V_PE_BONDED,ALL SOURCES PHYSICALLY ABSENT,Remove F3 and map continuity from J3 pin 2 to the common bus and the other branch VDD pins.,four-wire resistance matrix; fuse-position photos,"J3_VDD is open from ACT_12V_BUS, J1_VDD and J2_VDD while the common return remains as designed.",Exact assembled distribution; accepted INJ1 first article; selected holder and conductor identities.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-006,A - UNPOWERED,TTL/data isolation,U1 TTL-3; INJ1 CTRL:3/ACT1:3/ACT2:3/ACT3:3; J1/J2/J3 pin 3,DXL_TTL_DATA,ALL SOURCES PHYSICALLY ABSENT,Map the intended shared data path and test isolation from every VDD net and enclosure/frame.,continuity/insulation matrix; connector pin photos,Only intended DXL_TTL_DATA endpoints are continuous; isolation thresholds are SELECTION REQUIRED.,Released harness topology; grounding disposition; accepted test voltage that cannot damage electronics.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-007,A - UNPOWERED,Main interruption chain,F0; SD1; KP1; KP2,ACT_12V_RAW; ACT_12V_FUSED; K1_P1_IN; K1_OUT; ACT_12V_BUS,ALL SOURCES PHYSICALLY ABSENT,"Prove each deliberate open (F0 removed, SD1 open, K1 open, K2 open) interrupts the positive path.",four-wire continuity matrix at each deliberate-open state; photos,Each deliberate open independently removes continuity to ACT_12V_BUS; no alternate positive path exists.,Exact received contactors/disconnect/holders; accepted pole mapping; point-to-point inspection complete.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-008,A - UNPOWERED,Coil-branch isolation,FSR1; FSR2; K1 A1/A2; K2 A1/A2,SRA1_K1_RAW; K1_A1; SRA1_K2_RAW; K2_A1; SAFETY_0V,ALL SOURCES PHYSICALLY ABSENT,Remove each coil fuse link in turn and map isolation plus absence of crossfeed between K1 and K2 commands.,continuity matrix; coil-resistance record; fuse-position photos,The removed branch cannot energize its coil and cannot source the other branch; limits are SELECTION REQUIRED.,Exact fuse links/holders and received coil identities; coil suppression topology accepted.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-009,B - LIMITED ENERGY,FSR1 open response,FSR1; K1; SRA1,SRA1_K1_RAW; K1_A1; K1_STATUS,SEPARATE CURRENT-LIMITED 24 V FIXTURE ONLY,Command an otherwise eligible state with FSR1 removed; no robot actuator source is present.,K1 coil voltage/current; K1 main state; K1_STATUS; reset/permit state,K1 remains de-energized; no automatic restart or motion command is generated; numeric limits are SELECTION REQUIRED.,Qualified low-energy fixture plan; selected FSR1; accepted coil application; calibrated isolated monitors.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-010,B - LIMITED ENERGY,FSR2 open response,FSR2; K2; SRA1,SRA1_K2_RAW; K2_A1; K2_STATUS,SEPARATE CURRENT-LIMITED 24 V FIXTURE ONLY,Command an otherwise eligible state with FSR2 removed; no robot actuator source is present.,K2 coil voltage/current; K2 main state; K2_STATUS; reset/permit state,K2 remains de-energized; no automatic restart or motion command is generated; numeric limits are SELECTION REQUIRED.,Qualified low-energy fixture plan; selected FSR2; accepted coil application; calibrated isolated monitors.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
