variant,old_linear_corner_tag,new_tet10_corner_tag,old_x_mm,old_y_mm,old_z_mm,new_x_mm,new_y_mm,new_z_mm,distance_mm,within_tolerance,warning
R284_V03_REFINED_FIXED,1,1,-23.5,9.525,-20.0,-23.5,9.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,2,2,23.5,9.525,-20.0,23.5,9.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,3,3,-23.5,8.525,-20.0,-23.5,8.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,4,4,-52.0,8.525,-20.0,-52.0,8.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,5,5,-52.0,0.0,-20.0,-52.0,0.0,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,6,6,52.0,0.0,-20.0,52.0,0.0,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,7,7,52.0,8.525,-20.0,52.0,8.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,8,8,23.5,8.525,-20.0,23.5,8.525,-20.0,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,9,9,-23.5,9.525,19.322875655532,-23.5,9.525,19.322875655532,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284_V03_REFINED_FIXED,10,10,23.5,9.525,19.322875655532,23.5,9.525,19.322875655532,0.0,True,"PRELIMINARY - FIXED-CORNER CURVED-MESH DEVELOPMENT SCREEN ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
