hold_id,hold,state,closure_evidence,warning
HOLD-01,"P0.2 CAM supplier/process acceptance, normalized XYRS, DFM and first article",OPEN,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-02,Watchdog PCB-P0.9 parity with P1.15 and current supplier-normalized manufacturing package,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-03,E2 hardware-slice parity with P1.15,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-04,"Limiter-carrier provider, process, stackup acceptance and first article",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-05,Carrier input-harness source-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-06,Carrier output-harness star-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-07,"Received panel, board, standoff, screw and connector fit",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-08,"Branch protection current-limit, reverse-energy, transient, thermal and fault characterization",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-09,"Complete configuration review by qualified electrical, mechanical and functional-safety reviewers",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HOLD-10,Separate written work authorization for each physical stage,NOT AUTHORIZED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
