reference,terminal,function,net,state,warning
JFIELDA,EVMA_IN1,S0 channel-1 return,EVMA_IN1,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDA,EVMA_IN2,manual RESET return,EVMA_IN2,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDA,EVMA_IN3,manual ARM/start return,EVMA_IN3,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDA,EVMA_IN4,K1 coil command,EVMA_IN4,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDA,SAFETY_0V,FIELD REFERENCE,SAFETY_0V_TAP_CANDIDATE,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ4,J4-9,FAST INPUT 1,EVMA_IN1,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ4,J4-8,FAST INPUT 2,EVMA_IN2,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ4,J4-7,FAST INPUT 3,EVMA_IN3,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ4,J4-6,FAST INPUT 4,EVMA_IN4,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ4,J4-1,FIELD GND,SAFETY_0V_TAP_CANDIDATE,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDB,EVMB_IN1,K2 coil command,EVMB_IN1,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDB,EVMB_IN2,K1 mirror-contact chain,EVMB_IN2,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDB,EVMB_IN3,K2 mirror-contact chain,EVMB_IN3,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELDB,SAFETY_0V,FIELD REFERENCE,SAFETY_0V_TAP_CANDIDATE,DIRECT CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
