part_id,module,role,oriented_bbox_x_mm,oriented_bbox_y_mm,oriented_bbox_z_mm,within_project_140mm_conservative_envelope,bpl_7_hour_limit_verified,bpl_service_available,submission_authority,warning
T01_TORSO_RAIL_R,T01,primary frame rail,145.986298,18.000000,18.000000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,primary frame rail,145.986298,18.000000,18.000000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_SHOULDER_CROSS_TUBE,T01,shoulder load bridge,174.000000,28.000000,24.000000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_FRONT,P01,pelvis frame plate,62.000000,136.000000,5.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_REAR,P01,pelvis frame plate,62.000000,136.000000,5.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_WAIST_BRIDGE,P01,waist load bridge,112.000000,62.000000,6.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01_NECK_TUBE,N01,neck frame tube,58.000000,38.000000,38.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_RESTRAINT_BRIDGE,P01,fall-restraint load-path candidate,84.000000,14.000000,12.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_SIDE_FRONT,L01,shin side plate,136.000000,50.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_SIDE_FRONT,L01,thigh side plate,142.000000,56.000000,2.500000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
