C:\Users\amyle\Documents\New project\tmp-pb-r39\build-a\project_button_watchdog.elf  :
section                 size        addr
.boot2                   256   268435456
.text                   6588   268435712
.rodata                  316   268442300
.binary_info              36   268442616
.xip_ram                   0   352321536
.ram_vector_table        192   536870912
.uninitialized_data        0   536871104
.data                    344   536871104
.tdata                     0   536871448
.tbss                      0   536871448
.tbss_space                0   536871448
.bss                     980   536871448
.tls0                      0   536872428
.tls1                      0   536872428
.persistent_data           0   536872428
.dummy_pre_heap            0   536872428
.heap                   2048   536872428
.scratch_x                 0   537133056
.scratch_y                 0   537137152
.stack_dummy            2048   537137152
.debug_info            83517           0
.debug_abbrev          19530           0
.debug_loclists        34196           0
.debug_aranges          3936           0
.debug_rnglists         6107           0
.debug_line            61103           0
.debug_str             18158           0
.comment                  70           0
.ARM.attributes           42           0
.debug_frame            6780           0
.debug_line_str          588           0
Total                 246835
