source,target,mode,owner_candidate,group_candidate,install_state,warning
software/host/hr-v0-host-deploy-p0.1/host-deploy-config.json,/etc/project-button/host-deploy-config.json,0640,root,project-button,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/__init__.py,/opt/project-button/lib/project_button_host/__init__.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/preflight.py,/opt/project-button/lib/project_button_host/preflight.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/launcher.py,/opt/project-button/lib/project_button_host/launcher.py,0755,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/runtime_entrypoint.py,/opt/project-button/lib/project_button_host/runtime_entrypoint.py,0755,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/gpiod_hardware.py,/opt/project-button/lib/project_button_host/gpiod_hardware.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/project_button_host/unix_command_source.py,/opt/project-button/lib/project_button_host/unix_command_source.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/systemd/project-button-supervisor.service,/etc/systemd/system/project-button-supervisor.service,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
software/host/hr-v0-host-deploy-p0.1/systemd/00-project-button.preset,/usr/lib/systemd/system-preset/00-project-button.preset,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/__init__.py,/opt/project-button/lib/project_button_supervisor/__init__.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/actuator_config.py,/opt/project-button/lib/project_button_supervisor/actuator_config.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/dynamixel_bus.py,/opt/project-button/lib/project_button_supervisor/dynamixel_bus.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/kinematics.py,/opt/project-button/lib/project_button_supervisor/kinematics.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/mechanical_binding.py,/opt/project-button/lib/project_button_supervisor/mechanical_binding.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/model.py,/opt/project-button/lib/project_button_supervisor/model.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/runtime.py,/opt/project-button/lib/project_button_supervisor/runtime.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/project_button_supervisor/sdk_transport.py,/opt/project-button/lib/project_button_supervisor/sdk_transport.py,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/supervisor-config.json,/etc/project-button/supervisor-config.json,0640,root,project-button,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/actuator-config.json,/etc/project-button/actuator-config.json,0640,root,project-button,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/compute-interface-config.json,/etc/project-button/compute-interface-config.json,0640,root,project-button,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
firmware/supervisor/dynamixel-sdk-lock.json,/opt/project-button/share/dynamixel-sdk-lock.json,0644,root,root,NOT_AUTHORIZED,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
