hold_id,topic,current_state,evidence_required,release_role,warning
HOST-001,target package lock,OPEN,exact package names versions repository provenance and immutable lock hash,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-002,python interpreter,OPEN,exact target interpreter path version provenance and binary SHA-256,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-003,service identity,OPEN,approved user group creation policy and least-privilege device permissions,system_administrator,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-004,GPIO backend,OPEN,source candidate exists; exact package API version chip lines polarities ownership startup-state proof waveform and HIL remain required,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-005,serial device,OPEN,stable received U2D2 device identity udev policy ownership and no-backfeed evidence,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-006,runtime entrypoint,PARTIAL,reviewed source exists; target install hash backend integration target timing and HIL evidence remain required,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-007,supervisor configuration,OPEN,released exact configuration with no placeholder hashes or null start tolerances,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-008,actuator configuration,OPEN,received actuator identities calibration external current evidence profiles and physical limit acceptance,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-009,compute interface binding,OPEN,qualified nine-input observation circuit exact terminals isolation loading protection cables GPIO allocation polarity conflict audit noninterference waveform and startup evidence,electrical_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-010,systemd target compatibility,OPEN,exact target systemd version unit verification boot ordering and sandbox/device-access test,system_administrator,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-011,image build and readback,OPEN,controlled download local hash media write full readback and promoted image hash,test_director,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-012,filesystem and logging,OPEN,exact writable paths rotation limits retention corruption criteria and storage-health policy,controls_engineer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-013,power-loss recovery,OPEN,repeated abrupt-loss raw logs integrity results safe inactive restart and signed disposition,test_director,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-014,update rollback,OPEN,offline recovery method immutable known-good image rollback execution and acceptance,test_director,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-015,isolated HIL,OPEN,GPIO timing serial deadline stale-command reset-to-motion and fault-injection raw evidence,controls_test_owner,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-016,security hardening,OPEN,approved account key network firewall remote-access update and secret-provisioning baseline,security_reviewer,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-017,qualified review,OPEN,signed controls electrical test and configuration dispositions for the exact image and hardware,qualified_reviewers,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
HOST-018,work authorization,OPEN,separate written isolated-host-HIL authorization with scope expiry revocation and shutdown controls,program_owner,PRELIMINARY - NOT APPROVED FOR INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
