measurement_id,measurement,unit,acceptance_limit,instrument_id,calibration_due,measured_value,result,evidence_path,execution_state,authority,warning
LP-M01,cable positive continuity CH1+ to J1.2,ohm,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M02,cable return continuity CH1- to J1.1,ohm,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M03,cross-contact isolation J1.1 to J1.2,Mohm,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M04,open-circuit output voltage,V,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M05,current-limit/OCP response into approved electronic load,A/ms,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M06,CH1 return to PE resistance before instruments,Mohm,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M07,controller inrush,A/ms,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M08,controller steady-state current,A,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M09,controller 5 V input and internal 3.3 V rail,V,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-M10,wire/connector temperature after approved dwell,degC,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
