path,bytes,sha256,execution_state,authority,warning
connector-contact-map.csv,919,1581e5064ef961d360fab7b5bc6f6b1e9e2acf93c8fd2fea64082f9cb1214bd0,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
equipment-register.csv,2760,606d3fed78a2db2b4d25855239f6b0edf4d3c0668168b9eede19758aa801f540,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
index.html,5355,55489ebe83b9bf189ca55edaa1e6c23ddbbd7346082a18fe7c4e536df9da8a2c,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-boundary.svg,2085,720abb47ce8f0a7e9ab8534aeb4d8536b6063ad9f60148d7447ddfd8a559462d,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-kit-source.py,24076,bd613bc0fc306cfe0502eb81d8043000b7e8adaaaa7728bb3c6aefe6a4c8a008,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-status.json,1075,de53642d214f72f2541c5465532901e85c259638b7a9c514950ea0162fbae979,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
measurement-register.csv,3256,d21ca8188e59f2a6f4b6f057fe378550a5b749b486a5bb9f4bdfc0e525d0af2f,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
open-holds.csv,2608,b645f03675d5b6aa58d1b328c7f51dc1187cc5aacd9c5f8a8369a02d54310f36,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
primary-source-register.csv,3447,f18f9f617bb89c7595193ece5a57e56fb5f34b7ffba549f7710c2eace5956455,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
README.md,364,61fa54e1240c89d773b1e1003888dc3ded8a6f7d549ac58fe9ffd273ea2a20ed,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
setup-gate-register.csv,3268,449e59e288f0da26e265915675feb25ab60fbc54588d503d5107657cfb680235,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
source-binding.csv,1222,4850da3e5a0ba1eaa26b383e3c0972de3eff52cdc7ca3f0a16c0796b70b92785,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
supply-configuration-register.csv,3148,8db54b1794dc165db0ed59e37a3a3ad172d097910d11f01ea4c99f2ab6a27979,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
