step_id,operation,performed_by,witness,record,complete,execution_state,authority,warning
PB-I01,"Receive and photograph enclosure, panel, factory body stud and door stud; record revision/serial/finish",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I02,Obtain written AHJ/site applicability determination and qualified electrical basis,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I03,"Measure facility supply, branch protection and available fault-current inputs using an approved method",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I04,Complete and approve the protective-conductor sizing/clearing calculation,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I05,"Release exact conductor, ferrule/lug, DIN rail, terminal, stud and locking hardware",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I06,Install DIN rail and UT 10-PE terminal per manufacturer and panel drawing,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I07,Prepare only controlled bonding surfaces; preserve corrosion protection outside the contact zone,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I08,"Install panel body, door, source FG and tether-G bonds; record torque and witness",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I09,"Crimp SBS75G G contact with released tooling; inspect, measure and pull-test coupon/assembly",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I10,"Install a covered, labeled pelvis frame-bond hub and the tether-G landing",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I11,Install every fixed module bond and every articulated-joint bypass without entering pinch/cable envelopes,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I12,Install BR1 only after its qualified disposition; otherwise keep it absent and record configuration open,UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I13,"Label PE, frame hub, BR1 and every module jumper at both ends",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I14,"Inspect conductor routing, bend radius, abrasion, service loops, retention and touch protection",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I15,"Execute unpowered continuity, insulation and single-bond-count measurements at worst joint poses",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-I16,"Freeze as-built photos, serials, torque records, measurement files and qualified disposition before any separate connection request",UNASSIGNED,UNASSIGNED,NONE,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
