input_id,required_input,unit,current_value,calculation_released,execution_state,authority,warning
PB-SZ01,available fault current at facility/panel,A,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ02,upstream protective-device type/rating/curve,identifier,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ03,maximum permitted clearing time,s,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ04,each bond-path length including tether,m,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ05,ambient temperature and enclosure rise,degC,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ06,"bundling, conduit and installation method",classification,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ07,terminal/contact/lug conductor limits,mm2/AWG,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ08,"flex duty, bend radius and cycle target",cycles/mm,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ09,"material, plating, corrosion and contamination environment",classification,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-SZ10,jurisdictional conductor-sizing rule and qualified calculation,document,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
