test_id,inspection_or_measurement,unit,acceptance_limit,instrument,measured_value,result,evidence,execution_state,authority,warning
PB-T01,panel body to PE hub continuity,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T02,door to PE hub continuity through full door travel,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T03,source FG terminals to PE hub continuity,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T04,SBS G contact end-to-end continuity and mate sequence,ohm/event,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T05,pelvis hub to each of 12 whole-body modules,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T06,each of 14 moving-interface bypasses at worst pose,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T07,intentional DC-return/frame bond count,count,EXACTLY ONE ONLY IF BR1 IS APPROVED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T08,power-to-frame insulation with BR1 removed,Mohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T09,frame current under approved current-limited test,mA,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T10,bond-path temperature rise under approved test,degC,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T11,jumper retention and abrasion after flex cycle,N/visual,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-T12,USB/SWD/oscilloscope accessory reference matrix,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
