case_id,ixx_about_j2_kg_m2,speed_deg_s,kinetic_energy_j,basis,status
KNOWN-NOMINAL,0.000650235102,5.000,0.000002475912,exact custom CAD plus catalog-mass uniform beam-envelope estimate,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-NOMINAL,0.000650235102,10.000,0.000009903647,exact custom CAD plus catalog-mass uniform beam-envelope estimate,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-NOMINAL,0.000650235102,20.000,0.000039614588,exact custom CAD plus catalog-mass uniform beam-envelope estimate,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-NOMINAL,0.000650235102,30.000,0.000089132823,exact custom CAD plus catalog-mass uniform beam-envelope estimate,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-NOMINAL,0.000650235102,180.000,0.003208781612,exact custom CAD plus catalog-mass uniform beam-envelope estimate,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-SUPPORT-BOUND,0.000921987948,5.000,0.000003510670,known masses placed at farthest nominal geometry-support radii,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-SUPPORT-BOUND,0.000921987948,10.000,0.000014042679,known masses placed at farthest nominal geometry-support radii,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-SUPPORT-BOUND,0.000921987948,20.000,0.000056170718,known masses placed at farthest nominal geometry-support radii,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-SUPPORT-BOUND,0.000921987948,30.000,0.000126384115,known masses placed at farthest nominal geometry-support radii,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
KNOWN-SUPPORT-BOUND,0.000921987948,180.000,0.004549828154,known masses placed at farthest nominal geometry-support radii,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-POINT,0.006303990877,5.000,0.000024003818,known nominal plus 210 g gripper and 100 g payload point allocations,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-POINT,0.006303990877,10.000,0.000096015272,known nominal plus 210 g gripper and 100 g payload point allocations,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-POINT,0.006303990877,20.000,0.000384061087,known nominal plus 210 g gripper and 100 g payload point allocations,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-POINT,0.006303990877,30.000,0.000864137446,known nominal plus 210 g gripper and 100 g payload point allocations,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-POINT,0.006303990877,180.000,0.031108948052,known nominal plus 210 g gripper and 100 g payload point allocations,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-SUPPORT,0.006575743723,5.000,0.000025038576,known support bound plus gripper/payload point allocations; not a complete upper bound,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-SUPPORT,0.006575743723,10.000,0.000100154304,known support bound plus gripper/payload point allocations; not a complete upper bound,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-SUPPORT,0.006575743723,20.000,0.000400617217,known support bound plus gripper/payload point allocations; not a complete upper bound,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-SUPPORT,0.006575743723,30.000,0.000901388739,known support bound plus gripper/payload point allocations; not a complete upper bound,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
REFERENCE-SUPPORT,0.006575743723,180.000,0.032449994594,known support bound plus gripper/payload point allocations; not a complete upper bound,SENSITIVITY ONLY - SPEED/COMPLETE INERTIA/ROTOR REFLECTION/PEAK FORCE OPEN
