case_id,input_type,moment_nm,energy_j,stroke_mm,nominal_contact_radius_mm,derived_average_force_n,basis,status
REFERENCE-GRAVITY,JOINT_MOMENT,0.483257699,,,45.604835001,10.596632988,maximum incomplete reference gravity moment,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
2.25X-GRAVITY-SCREEN,JOINT_MOMENT,1.087329823,,,45.604835001,23.842424224,project analytical screen multiplier,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
3X-PROOF-SCREEN,JOINT_MOMENT,3.261989468,,,45.604835001,71.527272672,three times the 2.25x incomplete gravity screen,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
MOMENT-1NM,JOINT_MOMENT,1.000000000,,,45.604835001,21.927499573,sensitivity input,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
MOMENT-3NM,JOINT_MOMENT,3.000000000,,,45.604835001,65.782498719,sensitivity input,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
MOMENT-5NM,JOINT_MOMENT,5.000000000,,,45.604835001,109.637497864,sensitivity input,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
MOMENT-10NM,JOINT_MOMENT,10.000000000,,,45.604835001,219.274995729,sensitivity input,ONE-RAIL WORST-SHARE STATIC EQUIVALENT - NOT PEAK/IMPACT/CAPACITY
ENERGY-10DPS-0.5MM,ENERGY_OVER_STROKE,,0.000100154304,0.500,45.604835001,0.200308608,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-10DPS-1.0MM,ENERGY_OVER_STROKE,,0.000100154304,1.000,45.604835001,0.100154304,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-10DPS-2.0MM,ENERGY_OVER_STROKE,,0.000100154304,2.000,45.604835001,0.050077152,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-30DPS-0.5MM,ENERGY_OVER_STROKE,,0.000901388739,0.500,45.604835001,1.802777478,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-30DPS-1.0MM,ENERGY_OVER_STROKE,,0.000901388739,1.000,45.604835001,0.901388739,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-30DPS-2.0MM,ENERGY_OVER_STROKE,,0.000901388739,2.000,45.604835001,0.450694369,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-180DPS-0.5MM,ENERGY_OVER_STROKE,,0.032449994594,0.500,45.604835001,64.899989188,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-180DPS-1.0MM,ENERGY_OVER_STROKE,,0.032449994594,1.000,45.604835001,32.449994594,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
ENERGY-180DPS-2.0MM,ENERGY_OVER_STROKE,,0.032449994594,2.000,45.604835001,16.224997297,REFERENCE-SUPPORT inertia sensitivity; excludes drivetrain/rotor/compliance and uses energy/stroke average,AVERAGE ENERGY FORCE ONLY - NOT PEAK/IMPACT/CAPACITY
