step_id,phase_id,phase_name,sequence,action,required_input_keys,required_evidence,owner_role_candidate,named_executor,named_reviewer,authorization_state,result,evidence_uri,stop_work_on_failure,energization_effect,warning
BT-P00-S01,BT-P00,Configuration and work boundary,1,Verify the exact candidate Git commit and deterministic file manifest.,release_candidate|release_manifest,configuration snapshot,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S02,BT-P00,Configuration and work boundary,2,Record every current domain-product identifier from the release candidate.,release_candidate,product identifier checklist,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S03,BT-P00,Configuration and work boundary,3,Confirm the worktree or clean clone reproduces every applicable checker.,release_manifest,clean-clone validation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S04,BT-P00,Configuration and work boundary,4,Record the exact planned phase and prohibit all later phases.,energization_gates,phase authorization boundary,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S05,BT-P00,Configuration and work boundary,5,Assign a named accountable person and qualified reviewer for the planned phase.,procedure_registry,signed role/competence record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S06,BT-P00,Configuration and work boundary,6,Record calibrated-tool identities and expiry dates for the planned phase.,procedure_registry,calibration register,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P00-S07,BT-P00,Configuration and work boundary,7,"Confirm no build step starts from a document marked historical, superseded or withdrawn.",release_candidate,supersession audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S01,BT-P01,Receiving and quarantine,1,Receive each article against an authorized order and exact manufacturer order code.,bom_closure,receiving line record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S02,BT-P01,Receiving and quarantine,2,"Photograph manufacturer labels, lot/date codes and package condition before opening.",bom_closure,receiving photographs,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S03,BT-P01,Receiving and quarantine,3,"Quarantine any identity, quantity or condition mismatch.",bom_closure,nonconformance record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S04,BT-P01,Receiving and quarantine,4,Keep evaluation candidates segregated from released production material.,bom_closure,segregation log,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S05,BT-P01,Receiving and quarantine,5,Measure controlled received interfaces without powering any article.,joint_metrology,raw metrology record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S06,BT-P01,Receiving and quarantine,6,Inventory exact ROBOTIS included hardware rather than trusting commerce mass fields.,joint_metrology,kit-content inventory,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S07,BT-P01,Receiving and quarantine,7,Record certificates and heat/lot trace for controlled structural material.,mechanical_dfm,material certificate register,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01-S08,BT-P01,Receiving and quarantine,8,Prevent any received article from silently closing a selection or application hold.,bom_closure,hold disposition record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02-S01,BT-P02,Site and bench survey,1,Freeze the exact Boston-area build and use location.,energization_gates,signed site-input record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02-S02,BT-P02,Site and bench survey,2,"Record site permission, intended adult users and child-exclusion boundary.",energization_gates,site-use authorization,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
