hold_id,phase_id,hold_point,required_evidence,release_role_candidate,named_releaser,state,warning
BUILD-HOLD-001,BT-P00,Release Configuration and work boundary,Exact accepted configuration and written phase authority,qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-002,BT-P01,Release Receiving and quarantine,Accepted purchase/receiving records and calibrated inspection tools,qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-003,BT-P02,Release Site and bench survey,"Named Boston-area site, permission, branch/service and bench evidence",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-004,BT-P03,Release Control-panel mechanical assembly,Released panel drilling/cut/rail/duct package,qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-005,BT-P04,Release Frame dry assembly,Released frame/joint hardware and bench interface,qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-006,BT-P05,Release Joint-stack metrology,Separately authorized temporary-assembly traveler and exact received articles,qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-007,BT-P06,Release Custom-part first articles,"Qualified drawing release, supplier DFM and separate first-article authority",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-008,BT-P07,Release Final arm mechanical assembly,"Accepted first articles, fastener stack, torque/locking and stop settings",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-009,BT-P08,Release Guard and passive receiver,"Released guard/receiver application, anchors and proof basis",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-010,BT-P09,Release Harness fabrication,"Released harness drawings, pins, contacts, gauges, lengths and tooling",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-011,BT-P10,Release Unpowered electrical assembly,"Accepted ECAD, protection, grounding and harness package",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-012,BT-P11,Release Compute and firmware staging,"Accepted compute image, firmware hashes and configuration binding",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-013,BT-P12,Release Integrated unpowered inspection,"Completed as-built, continuity-precheck and configuration records",qualified_reviewer_and_program_owner,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BUILD-HOLD-014,BT-P13,Release Connection and powered-work boundary,EG-001 through EG-022 closure and separate written authorization,qualified_reviewer_and_program_owner,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
