coverage_id,ledger_id,assembly,item,prior_mass_g,prior_evidence,received_mass_required,itemization_required,execution_state,accepted_result,evidence_uri,warning
MPC-01,V0M-001,upper_link_hardware,MV0-C01 upper proximal adapter,46.987,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-02,V0M-002,upper_link_hardware,20-2040 upper member 100 mm,76.432,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-03,V0M-003,upper_link_hardware,MV0-C07 fixed positive-stop catch adapter,66.870,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-04,V0M-004,upper_link_hardware,J1 FR13-H101K moving output frame and idler hardware,,bom/hr-v0-frame-kit-contents.csv,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-05,V0M-005,upper_link_hardware,Upper-link fasteners bumper cable guide and moving harness share,,,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-06,V0M-006,elbow_actuator_and_bracket,J2 XM540-W270-T actuator,165,https://emanual.robotis.com/docs/en/dxl/x/xm540-w270/,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-07,V0M-007,elbow_actuator_and_bracket,J2 FR13-S102K body frame,,bom/hr-v0-frame-kit-contents.csv,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-08,V0M-008,elbow_actuator_and_bracket,J2 body-frame fasteners cable guide and harness share,,,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-09,V0M-009,forearm_hardware,MV0-C06 moving positive-stop striker adapter,70.265,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-10,V0M-010,forearm_hardware,20-2040 forearm member 50 mm,38.216,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-11,V0M-011,forearm_hardware,MV0-C04 H104 distal adapter,46.987,cad/hr-v0/generated/arm-architecture-p0.7/architecture-summary.json,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-12,V0M-012,forearm_hardware,J2 FR13-H101K moving output frame and idler hardware,,bom/hr-v0-frame-kit-contents.csv,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-13,V0M-013,forearm_hardware,Forearm fasteners cable guide and moving harness share,,,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-14,V0M-014,gripper_assembly,XM430-W350-T gripper actuator,82,https://emanual.robotis.com/docs/en/dxl/x/xm430-w350/,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-15,V0M-015,gripper_assembly,Parallel gripper mechanism pads guard and retention,,,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-16,V0M-016,gripper_assembly,Gripper fasteners connector cable and moving harness share,,,YES,YES,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-17,V0M-017,payload,Maximum permitted soft foam payload,100,docs/system-specification.md,YES,VERIFY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
